date,open,high,low,close,volume
2004-04-01,78000,79000,77200,77500,147291
2004-04-02,78000,78500,77000,77500,77390
2004-04-06,78700,79800,77800,78400,132301
2004-04-07,79700,82100,78900,81900,168502
2004-04-08,82200,82200,80100,82000,150880
2004-04-09,82000,82000,79600,81400,60830
2004-04-12,80300,85000,80200,84000,153219
2004-04-13,85100,85100,83600,84900,110110
2004-04-14,84900,84900,81600,82000,212612
2004-04-16,82500,82500,80900,81500,215558
2004-04-19,81900,81900,78700,80000,148458
2004-04-20,80200,89200,80200,86000,325775
2004-04-21,84500,86100,81900,82100,259621
2004-04-22,83700,84800,82100,82100,130100
2004-04-23,84700,87400,84200,86100,272260
2004-04-26,86000,86000,84000,84900,96758
2004-04-27,84000,84900,83400,84000,67604
2004-04-28,85000,85500,82800,84500,119170
2004-04-29,84500,84700,82600,83700,176030
2004-04-30,81000,83000,78000,78000,291628
2004-05-03,78800,81800,78300,81000,175454
2004-05-04,81000,82300,80500,80500,101692
2004-05-06,80500,83000,78700,80500,492920
2004-05-07,80000,81000,78000,78000,209130
2004-05-10,78900,78900,68000,70200,200922
2004-05-11,71200,73200,69000,72200,159656
2004-05-12,74000,77400,72300,76000,167223
2004-05-13,75800,75800,70900,71500,214615
2004-05-14,71000,71900,64600,65700,248978
2004-05-17,68000,68000,65000,67900,350874
2004-05-18,66000,68500,65300,67500,226763
2004-05-19,67000,70900,67000,70300,273832
2004-05-20,69900,74000,68700,72000,270843
2004-05-21,73000,73300,71000,73200,80781
2004-05-24,72300,73300,71500,72600,75660
2004-05-25,71000,71500,69500,70200,124600
2004-05-27,70800,74100,70800,74000,218893
2004-05-28,73900,75600,73000,74700,119890
2004-05-31,76000,76200,74800,75000,91770
2004-06-01,76000,79800,75800,76500,128890
2004-06-02,76200,80400,74700,78000,164211
2004-06-03,77600,77900,76000,76000,138930
2004-06-04,76000,81000,75200,79500,174555
2004-06-07,77200,80500,77200,80400,182392
2004-06-08,79100,80800,78100,80000,52480
2004-06-09,79800,80700,76400,77000,188335
2004-06-10,76100,78600,75100,76000,207725
2004-06-11,77000,77000,75100,75300,189180
2004-06-14,75300,78200,74500,76000,199705
2004-06-15,78000,80400,75300,78500,199752
2004-06-16,78500,81600,75400,75600,165759
2004-06-17,76400,76600,74100,75300,72325
2004-06-18,74500,74500,71300,71900,177661
2004-06-21,72500,74800,72000,73600,82654
2004-06-22,72200,72400,69500,70100,162664
2004-06-23,69200,71000,67600,68400,187670
2004-06-24,68900,71700,68900,71000,160741
2004-06-25,70700,73000,69100,72900,143646
2004-06-28,73400,74000,72200,73000,159070
2004-06-29,72200,74000,72200,73200,92385
2004-06-30,72700,74000,72000,73900,68518
2004-07-01,72600,75300,72200,73100,120646
2004-07-02,72400,72400,70100,70100,82427
2004-07-05,70800,70900,68500,70600,80124
2004-07-06,69100,71600,69100,70600,60888
2004-07-07,67500,69800,67300,68300,229710
2004-07-08,68500,68600,65500,65500,208893
2004-07-09,65900,66000,64800,65200,261145
2004-07-12,65000,65800,64200,64300,209349
2004-07-13,64000,64800,62500,63700,195820
2004-07-14,64000,64200,62100,62100,315682
2004-07-15,61500,62600,59800,61500,226898
2004-07-16,61200,64800,60600,64700,330704
2004-07-19,63700,65000,63500,65000,120614
2004-07-20,63500,64900,62600,64300,187041
2004-07-21,65000,66000,63500,65800,294250
2004-07-22,65000,65400,64800,65000,174083
2004-07-23,65000,65000,62000,62300,200268
2004-07-26,61800,61800,60500,61000,174660
2004-07-27,60700,60800,59000,60000,217275
2004-07-28,61300,62500,61300,62500,222091
2004-07-29,62000,63400,62000,62500,93875
2004-07-30,62600,65800,62600,65400,194173
2004-08-02,65400,65400,63100,64000,154550
2004-08-03,65500,65700,62100,62600,187280
2004-08-04,61400,62900,59700,62900,215774
2004-08-05,62000,64500,61800,64000,167320
2004-08-06,62400,63200,61400,63000,174248
2004-08-09,62500,63200,60800,62600,70896
2004-08-10,62100,63300,61800,62800,95101
2004-08-11,63500,64800,63100,64000,162624
2004-08-12,64600,67500,64000,67500,314103
2004-08-13,67600,73600,66200,72000,371605
2004-08-16,71000,71800,70000,71500,82482
2004-08-17,71900,72000,69600,69600,99319
2004-08-18,70500,70500,69100,69800,48441
2004-08-19,69800,73900,69800,72400,101455
