"close","volume_ma15_ratio","volume_ma30_ratio","volume_ma60_ratio","trsrange_ratio","adosc5_ratio","dmi5_ratio","mom5_ratio","macd5_ratio","macdsignal5_ratio","cci5_ratio","dx5_ratio","cmo5_ratio","ppo5_ratio","ultosc5_ratio"
0.7594752187,-0.0245851828,-0.0027738691,0.0052478067,-0.039745628,-0.0007476476,-2.44518471610474E-19,0.1220238095,-0.0013761807,-0.0009436688,-1.24928402382259E-14,-2.44518471610474E-19,2.15188676196525E-05,-0.0074574967,0.2039419843
0.7346938776,0.0054344365,0.0184862193,0.0259735033,0.1238738739,0.0010899451,0.0003070546,-0.0422740525,0.0010631788,-0.0003794983,-6.33882943975438E-14,0.0003070546,0.0002615499,-0.0044375435,-0.3448350213
0.6851311953,0.0479926807,0.0528493915,0.0622860934,0.0646298472,0.0023015012,0.0002282688,0.0213032581,0.0042514879,0.0011902304,2.35398628694162E-14,0.0002282688,0.000074879,0.0005343388,-0.1356826605
0.6690962099,0.0423133039,0.0444172045,0.055081257,-0.0576311606,0.0012377884,0.000031859,0.0158730159,0.0018253487,0.0014469845,-1.07705275344756E-14,0.000031859,8.60815006569174E-06,0.0186431503,-0.2052632818
0.7048104956,0.0441573528,0.0497691429,0.0609908001,0.051975052,-0.0003535524,-0.0003460893,-0.008531746,-0.0010408072,0.0002022775,-1.73442049109967E-14,-0.0003460893,-0.000072713,0.0060682059,0.4037349477
0.7120991254,0.000483628,0.0140164346,0.0258816331,-0.0525525526,0.0001883568,-0.000569272,-0.0037105751,-0.0014176404,-0.0004379673,-5.53747250356745E-14,-0.000569272,-0.000042283,0.005373304,-0.0144082943
0.7434402332,-0.0050344787,0.0107045094,0.0233823835,0.0573300573,-0.0006157983,-0.0006956363,-0.0282051282,-0.0032739887,-0.0013663529,5.62381963516492E-14,-0.0006956363,-0.0002631321,-0.0015986792,0.2780406737
0.7434402332,-0.0301254321,-0.0116559378,0.0012952212,-0.0345025877,-0.0007983801,0.0015661761,0.1349206349,-0.0039558284,-0.0018991511,-6.89944809073847E-15,0.0015661761,-1.97715718041633E-20,-0.0057157078,0.2958416884
0.7288629738,-0.0703719746,-0.0426706198,-0.0306746609,-0.0540540541,-0.0003693264,-5.51834046001585E-19,0.0005952381,-0.0014199734,-0.0018238673,-1.50623693495923E-14,-5.51834046001585E-19,-0.000108035,-0.0143832945,0.0037056573
0.7653061224,-0.0400194778,-0.0202876201,-0.0081519392,0.1866151866,-0.0012442785,0.0023036253,0.00029036,-0.015403901,-0.003670419,7.04322212786971E-14,0.0023036253,-0.0034974447,0.0604433128,0.0691636864
0.7580174927,-0.0624802217,-0.039950855,-0.0287553772,-0.0594594595,-0.0008055985,0.0001630856,-0.0057372347,0.0037701368,-0.0071925852,-9.35954237556369E-15,0.0001630856,-3.20851826321347E-05,0.0080690058,-0.0079208841
0.7317784257,-0.0229179157,-0.0178145931,-0.0064705017,0.0627413127,0.0007653532,-0.0008604706,-0.029856387,-0.0038673836,0.0089905022,-4.11708762320413E-14,-0.0008604706,-0.0001434118,-0.0010540806,-0.2044970706
0.7521865889,-0.0477885265,-0.0338489865,-0.0226959713,0.0098879367,0.0005540342,0.006278226,-0.0416666667,0.0034998773,0.0046651579,-4.67036067177788E-14,0.006278226,-0.0002473805,-0.0029023478,0.0787499686
0.7536443149,-0.064444238,-0.04444595,-0.0338169245,-0.0552825553,-0.0003378855,-0.0005803957,0.0436507937,0.0012678962,0.0023722874,-5.23197858475006E-14,-0.0005803957,1.22438811534811E-05,-0.0027009992,0.1304463478
0.7434402332,-0.079183015,-0.0542363408,-0.0435792305,-0.0207900208,-0.0002177833,0.0007440571,-0.0448179272,-0.0022864564,-0.0001852161,2.86861665481317E-14,0.0007440571,-0.0001088754,-0.0077896031,-0.196762977
0.7135568513,0.0392290219,0.0191330995,0.0317789484,0.1228501229,0.0021997574,0.0052199099,0.0246031746,-0.0133915022,-0.0048889662,4.69358376881584E-14,0.0052199099,0.0036951324,-0.0238085049,-0.1142480147
0.7106413994,-0.0319067601,-0.0254037116,-0.0144676645,-0.045045045,0.0005673084,0.0002278091,-0.012490242,0.0076882651,-0.0282359626,-7.41708968430022E-15,0.0002278091,7.84006498529653E-06,0.0026431779,0.079599781
0.7157434402,-0.0052967366,-0.0132426076,-0.0022356282,-0.0386100386,0.0003334091,-0.0001700858,0.0172413793,0.000693616,0.0054704596,-1.37331476223367E-14,-0.0001700858,-3.00791741854044E-05,0.0102191962,-0.1022040745
0.7274052478,-0.028699408,-0.0287200673,-0.0193953431,-0.027027027,-0.0005790864,-0.0001407289,-0.0066666667,-0.0017949848,0.0005912154,-2.66347509884021E-14,-0.0001407289,-9.17676938439598E-05,0.0062302385,0.049495794
0.7361516035,-0.0030796132,-0.0194782325,-0.0107070742,0.1182432432,-0.000253061,-0.000506359,-0.0171957672,-0.003539101,-0.0011740561,-1.92513278521153E-12,-0.000506359,-0.0005762513,-0.0011311364,-0.0715023818
0.7390670554,-0.0085330064,-0.0239367163,-0.0162131346,-0.036036036,-0.0002552896,0,-0.1071428571,-0.005874954,-0.00228958,-1.25184569829536E-14,0,4.18152276848198E-05,-0.0062286849,0.2306352445
0.7653061224,0.0623264588,0.0090579266,0.0149946653,0.085995086,-0.0017898514,0.0015897303,0.0272108844,-0.1401046056,-0.0079253176,1.51299238086305E-14,0.0015897303,0.0001915674,-0.0139706692,0.2578099071
