"open","high_close_ratio","close_lastclose_ratio","trsrange_ratio","obv_ratio","sar_ratio","atr5_ratio","natr5_ratio","b_middle5_ratio","dmi5_ratio","apo5_ratio","macdhist5_ratio","cci5_ratio","dx5_ratio","cmo5_ratio"
0.5356576862,0.0154519933,0.0471681447,0.0140485313,0.0105112574,0.0889788043,-0.075043397,-0.0843088864,0.28980322,3.62693096592937E-06,0.0049019608,-0.000888611,-7.81097384922695E-15,3.62693096592937E-06,0.0001097791
0.5412044374,0.0466282616,-0.0626154252,-0.0379310345,-0.0125184773,0.0809409877,-0.0869600183,-0.0908276955,0.207079646,0,0.0020739065,-0.0021134785,-1.41680768688702E-13,0,-0.000481725
0.5388272583,0.108959276,-0.0157458026,0.0361247947,-0.0135606936,0.0261629137,-0.0653921765,-0.0700969498,-0.0632318501,1.54846138680338E-05,-0.0042134831,-0.0061773667,-9.29444908134756E-15,1.54846138680338E-05,-0.000195737
0.5372424723,0.0626308603,-0.0630758327,-0.0421455939,-0.0109844052,0.8921575749,-0.0826454505,-0.0860854076,-0.0316901408,-0.000175649,-0.0048633627,0.004741609,-0.0851612903,-0.000175649,-0.0009224399
0.5340729002,0.0626308603,0,0.0842911877,0,-0.0164346193,-0.038143445,-0.0414408803,-0.0475910693,-0.0002280212,-0.0070934256,0.0004635266,-3.73600404250125E-15,-0.0002280212,-7.26786263216033E-19
0.5396196513,0.2577914922,0.3489698439,0.3666666667,0.0624630721,-0.0339473499,0.2558454476,0.246638684,0.1032960565,0.000582377,-0.0076871658,-0.0038991854,-2.48359868894926E-14,0.000582377,0.007132924
0.5641838352,0.1187614629,0.2304346325,-0.0518715001,0.0370816915,-0.0327313198,0.0328822451,0.0199129595,0.253298153,2.76066443917396E-05,0.0042016807,0.0078591012,-2.41655676114944E-15,2.76066443917396E-05,0.0002724147
0.5641838352,0.131941189,0.1353520675,-0.0054972514,0.0288103306,-0.031553929,0.0182364383,0.0106424162,0.3293639268,4.05171638413705E-05,0.0272331155,0.0007370822,-2.08851359294924E-15,4.05171638413705E-05,9.1171082554719E-05
0.5744849445,0.0725968133,0.1039615526,-0.0459770115,0.0139810484,-0.0304142993,-0.0388864715,-0.0487163636,0.4106169297,1.10324496400915E-05,0.0108861727,-0.0001224251,-1.12840361513524E-15,1.10324496400915E-05,5.5752265699626E-05
0.5760697306,0.0728968002,-0.0441271258,-0.0270935961,-0.0091379369,-0.0293115475,-0.0542147729,-0.0561868119,0.3815715093,0,0.0061457419,-0.0013097984,-2.33939231971006E-15,0,-0.000238866
