"high_close_ratio","close_ma5_ratio","close_ma15_ratio","volume_ma60_ratio","sar_ratio","adosc5_ratio","b_upper5_ratio","kama5_ratio","willi5_ratio","mom5_ratio","macd5_ratio","macdhist5_ratio","cmo5_ratio","rocr5_ratio","ultosc5_ratio"
0.0859375,0.1967327707,0.2190714054,0.1253075723,0.0118763282,0.0003342945,0.1786642887,0.2488241529,0.0105974505,0.0444444444,0.0022175928,-0.0819474075,0.0017422898,0.1864021248,0.037013809
0.1437908497,0.1207362247,0.1781861228,0.1158472279,0.0277669435,-9.1289899784898E-05,0.0707291802,0.0926302542,0.0147747524,-0.0074074074,0.0003155968,-0.0003814196,-0.0004871352,-0.092287343,-0.0640872824
0.2365591398,-0.0918430245,0.0373006597,0.0549615878,0.0363948721,-0.0006304024,-0.0129089173,-0.0006953347,0.0360313316,-0.0166666667,-0.0015343821,-0.003860236,-0.0029006038,-0.1354942123,-0.1180245378
0.2404371585,-0.1842729053,-0.0446881281,0.0944012136,0.4156931845,-0.0011212699,0.0317668685,-0.0086239049,0.0067728067,-0.0666666667,-0.0028761159,0.0035576504,0.0075298575,-0.1387576392,-0.1240360768
0.2147838215,-0.2728299829,-0.142599414,-0.0299755016,-0.007764385,-0.0019931799,0.0552661914,-0.0506904299,0.0034364298,0.0333333333,-0.0104850488,0.0010290506,0.0017250753,-0.1408455973,-0.1050771251
0.3174603175,-0.3672966311,-0.2832547256,0.1069079729,-0.0176959691,-0.0111826142,-0.0483324296,-0.3945048901,-0.0005139426,0.0333333333,0.0090682324,0.0008022394,0.0010090895,-0.3454098048,-0.1582031356
0.1601164483,-0.2784594133,-0.2996232586,-0.0216310449,-0.0366540403,0.0016730883,-0.194180056,-0.2748194367,-0.0025237463,0.0008888889,0.0017437691,-0.0001203888,0.0001349029,-0.0275076005,0.0047354552
0.2261380323,-0.2156741108,-0.3126456775,0.0784415093,-0.0545283101,0.0006569776,-0.1728390263,-0.2058651781,-0.0003177366,-0.0042735043,0.0007255824,-0.0003954698,0.0001292449,0.1109766338,0.0467160621
0.094017094,0.0621523915,-0.1662859724,-0.0191548099,-0.0675354597,-0.0001114584,-0.1949185298,0.013743305,-0.0102946662,-0.0116402116,-0.0008341449,-0.0016123999,-0.0019715549,0.2752607671,0.1076460942
0.1573676681,0.068723095,-0.170627398,-0.0342165343,-0.0615645606,-0.0002199128,-0.1374177872,0.004042195,-0.004063684,-0.0088888889,-0.000657989,-0.002813449,0.0006925807,0.0954763432,0.0621750641
0.2271386431,-0.1192200792,-0.2819855522,0.0912311969,-0.0560577397,0.0005561623,0.0079114951,-0.0166964484,0.0201067699,-0.0037037037,0.0006814408,-0.0062268604,0.0030671749,0.0204627508,-0.0001732401
0.2271386431,-0.1006586725,-0.2568042914,-0.0060639932,-0.0509900173,0.0008593093,0.0035395834,-0.0093190077,0,-0.0088888889,0.00006617,-0.0005372558,3.93102311646423E-19,0.0503608512,-0.1044065611
0.197309417,-0.1704564714,-0.2867488217,0.0401484769,-0.046335754,0.0004488177,0.0233673591,-0.0189497038,0.0028596295,0.0074074074,0.0002757591,0.0009364438,0.0005236384,-0.0264138748,-0.0194912364
0.1009174312,-0.2305047843,-0.3475350332,-0.0136497237,-0.0557713437,0.0001463748,-0.0650646577,-0.3330938041,0.0023396969,0.0666666667,0.0006595517,0.0023183438,0.0005451627,-0.2979186669,-0.1206118745
0.3142857143,-0.346430556,-0.4576180109,0.0556945488,-0.070336619,0.0002543225,-0.0705728845,-0.3984560681,-0.0006929102,0.0097222222,0.0011240694,0.0021462135,0.0004272762,-0.1877680254,-0.0878084611
0.142394822,-0.3528281655,-0.4775544308,0.0743084202,-0.1025558073,-0.000105016,-0.0301311235,-0.3357970234,-0.001188922,-0.0028985507,0.0006501767,0.0002440273,0.000122126,0.0653661777,0.1418017762
0.2904290429,-0.3335922508,-0.4944643992,0.0456541585,-0.1236758087,0.0001559599,-0.1451133165,-0.3017723871,0.0026624137,0.0044444444,0.0004172982,-0.0001231337,9.76634695939451E-05,-0.1119673293,0.0054256598
0.2156862745,-0.1386476427,-0.3996690021,0.0274501908,-0.1200802787,0.0001907838,-0.2569195415,-0.0817805373,-0.0033589299,-0.0046296296,-0.0002118823,-0.0012865758,-0.0005717452,0.1354340868,-0.0308031517
0.1691741892,-0.1722303985,-0.438905858,0.0514403639,-0.0982858223,-8.27470858015215E-05,-0.2641496276,-0.1481730047,-0.0004061741,-0.0004678363,2.55498023701657E-05,-0.0007288758,0.000290643,-0.0007520382,0.0567008266
0.1466666667,-0.081263914,-0.3767635968,0.0084791315,-0.1076175358,-4.92724076391473E-05,-0.1492586531,-0.0613409126,-0.0050301646,-0.0102747909,-0.0002915434,-0.0030292941,-0.0002161178,0.2376812327,0.0253049364
0.1078431373,0.0757108982,-0.2567593571,0.0018703739,-0.0878741406,-0.000259674,-0.0521789955,0.0006408822,-0.0102946662,-0.0177777778,-0.0007966874,0.0123324998,-0.0014596109,0.2295330252,0.0264120582
0.1797385621,0.0613043561,-0.2230942207,0.0215964415,-0.3574084906,-0.000169824,0.0274400308,0.0008990193,0,-0.0444444444,-0.0007902725,0.0007083159,0,0.1141845042,0.0732807747
0.0352564103,0.1746681746,-0.1110620319,-0.0494248976,0.007979642,-0.0004754987,0.1011842704,0.0176436221,-0.0211534236,0.0222222222,-0.0013520364,0.0007735657,-0.002986489,0.0554240433,0.1257447674
0.0349206349,0.168647425,-0.0338308309,-0.0691226206,0.0078083206,-0.0006531231,0.1002292449,0.1781910002,0.0031675896,0.0366666667,-0.0017622978,0.0001997537,0.007313543,0.1897488155,0.0382761034
0.0337941628,0.2903225806,0.1418214227,-0.0200367476,0.0174615676,-0.0011656433,0.2099757375,0.2967586555,-0.007353333,0.0134171908,-0.0044496353,0.0005535195,0.0044089371,0.1743349979,0.1575706777
0.2075471698,0.0617384365,0.0534198988,-0.0430577385,0.0364683229,-0.0005145281,0.0208814979,0.0055023241,0.1395835619,-0.0117647059,0.0093725848,-0.0007029214,-0.0019775881,-0.2433243205,-0.0928815735
0.1437908497,-0.2126546147,-0.09024862,0.0445117431,0.0340465059,-0.000150251,0,-0.0018985018,0.0343155539,-0.0222222222,-0.0126310652,-0.0018354948,-0.0084479069,-0.2175968853,-0.0373737977
0.1452145215,-0.2414724495,-0.1041781295,0.0428089533,0.0317999167,0.0006388712,0.0359819114,-0.0267969843,0.0020425925,-0.0166666667,0.004883154,-0.0063339915,0.0006925037,-0.1663360806,-0.0593051059
0.1861252115,-0.3283477119,-0.1853428768,0.3081441323,0.4952342738,0.0025532457,0.0290237349,-0.1089470114,0.0009312609,0.0259259259,0.0029666477,0.0028138103,0.001188071,-0.1962886,-0.0781706721
0.2206085754,-0.3133398204,-0.2550043731,0.1942165704,-0.0111123309,0.0020703616,-0.2056719385,-0.4578139844,0.0013462256,0.0191452991,0.0016717233,0.0006700839,0.0005295944,-0.3049812576,-0.1828764229
0.2170542636,-0.285459309,-0.31245396,0.1910293748,-0.0249516116,0.0012056109,-0.2259712444,-0.3682410457,-0.0007761851,-0.0012855831,0.0009972004,0.0001146058,0.0003137808,0.0257888425,-0.0298858823
0.0304603669,-0.0784948445,-0.2221453322,0.0618592905,-0.0419883863,-7.51445045155625E-05,-0.1607191253,-0.0476922191,-0.0064269612,-0.0111111111,-0.0002712022,-0.0011631676,-0.0010966516,0.3338167862,0.2259719395
0.1445366528,-0.0029903266,-0.2014294817,0.0022969735,-0.0550231699,-0.00000706,-0.2068430295,-0.0297750221,-0.0033547295,-0.004288499,-0.0004403741,-0.001886642,-0.0001153745,0.0631394065,-0.0400422214
0.1605839416,-0.0015032689,-0.2131893666,0.0024251209,-0.0511511064,4.66494985435669E-05,-0.1213614654,-0.0223425869,-0.0011382783,-0.0096618357,-0.0003612841,-0.007391402,0.0003259589,0.1156858559,-0.0328682243
0.0375298533,0.1139395891,-0.1242711484,0.0086551092,-0.0475165304,-0.0003406832,0.0668006416,0.0017128215,-0.0202487,-0.0333333333,-0.0011021144,0.0065429175,-0.002164569,0.2362037262,0.1454017234
0.0829051045,0.0432342112,-0.1286321299,-0.044316338,-0.0441097401,-0.0003232966,-0.0081736589,-0.0021686245,0.0204842847,0.0239316239,-0.0008787299,0.0002145458,0.0023668704,0.0856610485,0.0882018701
0.1059511524,0.0044669625,-0.1318297289,0.0046555251,-0.0409207278,-0.0002240378,0.0040673463,-0.002017505,0.0297367923,-0.0172839506,-0.0006184521,-0.0003140769,0.0013377443,-0.1250806056,-0.1175957715
0.1153039832,-0.0925082781,-0.1754527369,0.0699824265,-0.037939307,-1.95078620515737E-05,0.0187079262,-0.0101481582,0.0173896388,-0.0592592593,0.0004148398,-0.0012152902,0.0028464794,-0.095150942,0.0148715719
0.0542635659,-0.133152374,-0.1816561063,-0.0642772437,-0.0351552253,-0.0001169087,0.0286492187,-0.0183326662,0.0023143048,0.0066666667,0.0004687476,-0.0018968792,0.0005730548,-0.0185427539,0.0595281299
0.0308123249,-0.051132464,-0.1134304859,-0.0384487585,-0.0325582612,-0.0003038142,-0.0590204646,-0.0588808431,-0.004063684,0.0205128205,-0.0003717523,0.0074221332,-0.0009479236,-0.0703381399,-0.0594976856
0.0230366492,-0.0015095639,-0.0669087159,-0.0203736405,-0.0301383072,-0.0006859668,-0.0695467692,-0.022192078,-0.0026809026,-0.0062222222,-0.0006670993,0.0021680291,-0.0007679677,0.0419511834,0.1456518489
0.1550387597,-0.0348879825,-0.0866015939,-0.0630332154,-0.0278854401,-0.0001725753,-0.0913645324,-0.0432626794,0.005974583,0.0061728395,-4.27417709322091E-06,-0.0008455886,0.0019598166,-0.0307634138,-0.1383885763
