date,open,high,low,close,volume
2011-04-11,49200,49200,48200,48400,2067958
2011-04-12,48500,49000,47650,47950,1981390
2011-04-13,48150,48600,47950,48550,1610120
2011-04-14,48150,48500,47400,48000,3507674
2011-04-15,47800,48400,47750,48350,1479976
2011-04-18,48500,48600,46250,46800,2988923
2011-04-19,46200,46750,45650,46600,1957895
2011-04-20,46950,47650,46650,47400,2272317
2011-04-21,47900,47900,46050,46250,3356360
2011-04-22,46300,47750,45950,47500,2214493
2011-04-25,47500,47850,46800,47050,1172616
2011-04-26,47700,47700,46300,47350,2091333
2011-04-27,47450,49400,47400,49400,3774160
2011-04-28,49700,49900,48850,49500,2549021
2011-04-29,50400,52600,50100,52500,6867957
2011-05-02,53000,53000,51700,52200,2188315
2011-05-03,52500,53000,52200,52400,2422359
2011-05-04,53000,53000,51400,52200,2225600
2011-05-06,52000,52800,51300,51300,2377522
2011-05-09,51100,51600,50000,50500,1544484
2011-05-11,51000,51100,50100,50900,1352493
2011-05-12,50000,50300,49600,49600,2438807
2011-05-13,49950,50300,47900,47950,2717663
2011-05-16,47550,48100,47200,47200,1841287
2011-05-17,47600,48850,47500,48600,1834028
2011-05-18,48900,48900,47600,48600,1614239
2011-05-19,48050,48350,47200,47600,2026223
2011-05-20,47350,48150,47050,47400,1482990
2011-05-23,47600,48300,47300,47750,1278401
2011-05-24,48000,49150,47850,48300,1562791
2011-05-25,48200,48250,47250,48100,1077494
2011-05-26,48100,48600,47900,48450,896756
2011-05-27,48550,48550,47750,48250,1069653
2011-05-30,48200,48900,47300,47500,1335690
2011-05-31,47750,49000,47600,48550,2205792
2011-06-01,49700,50100,48850,49600,1536774
2011-06-02,48900,49250,48000,48850,1212647
2011-06-03,48900,50800,48700,50700,2343213
2011-06-07,50700,51600,50200,50500,2696253
2011-06-08,50500,51000,49800,51000,1441698
2011-06-09,51500,51500,49000,49050,2049240
2011-06-10,49500,50700,49000,49000,1435010
2011-06-13,48400,50000,48300,49650,911892
2011-06-14,49900,50700,49100,49650,1167453
2011-06-15,50500,50600,48950,50300,1148546
2011-06-16,50300,50400,48750,49300,1106043
2011-06-17,49300,49950,47900,48350,1517718
2011-06-20,48600,48700,47800,48650,856464
2011-06-21,48800,51000,48750,50800,2296750
2011-06-22,51000,51300,50100,50500,1910529
2011-06-23,49500,50800,49400,50500,947087
2011-06-24,51000,52500,50800,51300,3350287
2011-06-27,51100,51600,50100,51300,1252737
2011-06-28,51400,52000,51100,51100,1517704
2011-06-29,52000,52200,51200,51300,1194029
2011-06-30,51500,51700,50500,50900,1364774
2011-07-01,51700,51800,51000,51400,1115657
2011-07-04,51900,52500,51500,51900,1654728
2011-07-05,51700,52700,51500,52200,1097043
2011-07-06,51900,53000,51500,51900,1604836
2011-07-07,52000,52700,51700,52000,1148266
2011-07-08,51600,51800,49850,50500,8453913
2011-07-11,50600,50600,49850,49850,1623912
2011-07-12,49500,49750,49250,49250,1320005
2011-07-13,49250,50300,49100,50000,1202221
2011-07-14,50300,50300,49200,50000,1262145
2011-07-15,50000,50900,49800,50900,1150279
2011-07-18,51200,51300,50200,51000,1021849
2011-07-19,50700,51200,50500,50600,965178
2011-07-20,51000,52700,50900,52400,2363111
2011-07-21,52900,53000,52200,52700,1849203
2011-07-22,53500,54000,52400,52900,2260650
2011-07-25,52700,52700,51300,51500,1384522
2011-07-26,51700,52800,51700,52800,962972
2011-07-27,52800,53200,52000,52700,858287
2011-07-28,51700,52000,51000,51600,1040991
2011-07-29,51500,51500,50000,50500,1557090
2011-08-01,50700,51300,50400,50800,1388686
2011-08-02,50800,50900,49500,49500,1638797
2011-08-03,49100,49350,48450,49000,1726302
2011-08-04,49950,50700,49450,49850,2015211
2011-08-05,47850,49600,47750,48050,2665118
2011-08-08,48000,48000,45050,46250,3188664
2011-08-09,43800,45700,40500,44750,4499948
2011-08-10,46450,46500,43150,43900,3784460
2011-08-11,41500,43500,41450,43100,2624349
2011-08-12,44000,44250,42550,42850,1793418
2011-08-16,44250,45900,44250,45650,2106070
2011-08-17,46000,47000,45500,46200,1268074
2011-08-18,47000,47000,45000,46500,1329996
2011-08-19,44700,46000,43700,45200,1695408
2011-08-22,44500,46150,44000,45900,1489555
2011-08-23,45700,45700,44400,45000,1818308
2011-08-24,44750,44800,41950,42800,2761453
2011-08-25,43700,44000,42100,42200,1811314
2011-08-26,41400,43450,41400,42950,1542901
