"open","open_lastclose_ratio","close_lastclose_ratio","close_ma15_ratio","close_ma30_ratio","sar_ratio","adosc5_ratio","adxr5_ratio","roc5_ratio","rocr5_ratio"
0.7721382289,-0.111821975,-0.1060997417,0.0224488089,0.0638183814,0.0179160214,-0.0014392777,0.252987036,-0.0673577095,-0.4441950156
0.7667386609,-0.08457223,-0.0534962933,-0.0066577398,0.0302472627,0,-0.0026787344,-0.3348686719,0.0436806442,-0.2244610581
0.7699784017,0.0849295775,0.053722334,0.0366416344,0.0558600741,0.0430086228,-0.0151948989,-0.6898255006,-0.0112285177,0.1261125717
0.7732181425,0.08457223,0.2496493689,0.1860152921,0.1807202142,0.0402212532,-0.0002550262,-0.5961451362,-0.0651389378,0.5119376495
0.788336933,0.0829436039,0.4022401258,0.4263837609,0.3862611542,0.037627009,-0.002286646,0.4273621397,0.0310356148,0.1564110541
0.8099352052,0,-0.0847619048,0.3233000473,0.3197566015,0.0216091344,-0.0099175698,0.1879563801,0.0015870329,0.0141377059
0.8120950324,0.1888590604,0.1365292426,0.3774197646,0.3812024385,0.0338270067,0.0007769165,0.5683654317,0.0135439721,0.1253811752
0.8110151188,-0.0533864542,-0.0506545248,0.2890105282,0.3358670344,0.0515842504,-0.0012290023,0.6380887343,-0.0055487629,-0.0682908048
0.8045356371,-0.134,0.0678095238,0.285756152,0.3564087716,0.0471665724,0.0017265352,0.683229971,-0.0110204752,-0.1171745679
0.8196544276,0.1332891247,0.0168624479,0.249625954,0.3508150703,0.043149879,-0.0010651173,0.6406940663,-0.0318026928,-0.2454420062
0.8207343413,0.1331125828,0.0505203406,0.2626474725,0.3669816634,0.039494109,-0.001057996,0.6433240196,0.062693043,0.0894818558
0.8110151188,-0.1856200528,-0.4025631361,-0.0160829988,0.119163099,0.0361637931,-0.0150538432,-0.1499615159,-0.0948084293,-0.350440005
0.8099352052,0.438147139,-0.3117944726,-0.215156683,-0.0608164268,0.4140929294,0.0062796569,0.0146623055,0.0308777818,-0.1722646694
0.7742980562,0.0280726257,-0.0710295291,-0.265069996,-0.1010156226,-0.0139017771,0.0009795566,0.1395365234,0.0088660928,-0.0907383232
0.7753779698,0.1693820225,0.1071428571,-0.1917701825,-0.0466236792,-0.0136464265,-0.0001871187,-0.0034857044,-0.0046595634,0.059238916
0.7721382289,-0.0839832869,-0.4072821329,-0.455998381,-0.2601303212,-0.0133953565,0.0006260143,-0.360194417,0.0269758545,-0.2996022496
0.7537796976,0.0867625899,0.1646454265,-0.3423874817,-0.1681787329,-0.0328454874,-0.0002509284,0.078215758,-0.0196995719,0.3848620716
0.7624190065,0.0571022727,0.0180600649,-0.3240505923,-0.1537871557,-0.0316559992,6.3934580899728E-05,-0.2275588014,-0.0241909829,0.2221747445
0.7645788337,0.0855319149,0.0901722391,-0.2500921717,-0.1095518274,-0.030505232,-6.34243788930117E-05,-0.4138716972,-0.0316734865,0.1065104009
0.7678185745,0.0283098592,0,-0.2185153546,-0.1136722864,-0.0293922378,-0.0003524552,0.1452058228,0.114985674,-0.0698084447
0.7667386609,0,0.0358148893,-0.16784617,-0.0991128251,-0.0283160692,-0.0002155732,-0.1300654147,-0.1238521193,0.3007652522
0.7742980562,0.1411516854,-0.0357142857,-0.1578775567,-0.1212663032,-0.0272757812,3.21151675347233E-05,-0.3073444301,-0.0252551659,-0.1299606078
0.7667386609,0,0,-0.1256202346,-0.1278972873,-0.0262704327,0.0002438125,-0.3754315375,-0.0065058876,-0.0118492821
0.7678185745,0.0283098592,-0.161167002,-0.1938973811,-0.2174637277,-0.0252990886,-0.0003840978,0.6342117993,-0.108037872,-0.1639759882
0.7570194384,0,0.2176482576,-0.0107683096,-0.106886387,-0.0452936755,-0.0007161121,0.0774605426,-0.0516805721,0.1430027482
0.7667386609,-0.08457223,-0.1426567822,-0.0665961432,-0.1760997825,-0.0428079068,-0.000479455,0.1882816267,-0.1289473825,-0.1169329309
