"close_lastclose_ratio","volume_ma5_ratio","trsrange_ratio","ma5_ratio","dmi5_ratio","apo5_ratio","aroonup5_ratio","macdhist5_ratio","dx5_ratio","cmo5_ratio"
0.2523567803,-0.060149403,-0.0148809524,0.3219258423,-3.19581020648594E-18,-0.087431694,-0.04,0.0053353374,-3.19581020648594E-18,0.0235326037
-0.4142857143,0.0378939458,0.211038961,0.1065447223,-0.0130103393,0.0176544767,0.05,-0.00831141,-0.0130103393,-0.0239172162
0.0283272283,-0.0599858384,-0.1116071429,0,-4.31694352228037E-17,0.0006071645,-0.04,0.0072253604,-4.31694352228037E-17,-0.0059475932
-0.3393466602,0.1734170959,0.1388888889,-0.3188775083,0.1494881516,-0.0111241218,-0.05,0.0091838047,0.1494881516,0.0765297687
-0.5196615231,0.5976200246,0.0892857143,-0.5352638465,0.0129607237,-0.0673952641,-0.0666666667,0.0053899035,0.0129607237,0.0127425856
-0.4768756423,0.1844417176,-0.0595238095,-0.9286657725,0.0018384595,0.0474238876,-0.1,0.0020846015,0.0018384595,0.0038643502
0.1534391534,-0.0878730181,-0.0111607143,-0.6321857107,0.0009927468,0.0070687321,-0.2,-0.0017429715,0.0009927468,-0.0046349599
-0.2128440367,-0.1547545439,0,-0.769456453,0,0.0050441362,0,-0.0014696193,0,0.0025014454
-0.400424854,0.1924843831,0.1071428571,-0.7991821703,0.0007935387,0.0022500804,0,8.62180610993105E-05,0.0007935387,0.0032380759
-0.2840816327,0.0384496549,-0.0967261905,-0.6642158299,0.0003470511,0.000353307,0,-0.0003222242,0.0003470511,0.0014526768
-0.3532668882,0.2429675575,0.1785714286,-0.5899154105,0.0006574374,-0.0017292661,0,-9.62308636866089E-05,0.0006574374,0.0013181527
0.1640735502,0.0498295013,-0.0811688312,-0.5977689819,0.0001150563,-0.0003866378,0.4,-0.0039147923,0.0001150563,-0.0046818202
-0.162464986,-0.0367599113,0.0446428571,-0.5712153713,-0.0061036185,-0.0011879306,-0.1,-0.0052552187,-0.0061036185,0.0014621157
0.03281471,0.0413782584,-0.0119047619,-0.3331194111,0.0008369408,-0.0025614754,-0.2,-0.0359238051,0.0008369408,-0.0014077699
0.3274985884,-0.0772860207,-0.012755102,0,-0.0028365239,-0.0040477636,0,0.0131356147,-0.0028365239,-0.0134899165
0.4174972315,-0.1169928296,0.0412087912,0.4239275226,-0.0103056896,-0.0079279764,1,0.0045180279,-0.0103056896,-0.0383485744
-0.0626519039,-0.2867066107,-0.0558035714,0.297473434,0.004055196,-0.0135310955,0,-0.0002266601,0.004055196,-0.0068776509
-0.220113852,-0.2349285011,0.0162337662,0.2607490714,-0.0006707144,-0.0715350224,-0.04,-0.0020648325,-0.0006707144,-0.0358591741
-0.0637362637,-0.1155099682,-0.0297619048,0.2073948734,0.0070948085,0.0137350465,-0.05,-0.0023157686,0.0070948085,0.0109033198
