"close","volume_lastvolume_ratio","ad_ratio","b_middle5_ratio","ema5_ratio","dmi5_ratio","macd5_ratio","macdhist5_ratio","cmo5_ratio","rocp5_ratio"
0.3989033553,-0.0234501767,0.1580102884,-0.0606924253,0.0514046008,-0.0033700143,-0.0029012505,0.0123503002,0.0129903456,0.0116179478
0.4060900151,0.0033208444,-0.018916291,0.0358223168,0.1334515438,0.0262022234,-0.0082451413,0.0045288411,0.0163111547,-0.0213341732
0.4175030386,0.1694695695,-0.1339568836,0.2752187474,0.2446594094,0.0051845445,0.0876562635,0.0029841487,0.0033864876,0.0941725505
0.4200351737,-0.0233732324,0.2476917257,0.2566642995,0.1949054484,0.0013038592,0.0041542536,3.94332448420532E-06,0.0003216999,-0.0008344836
0.4348228426,0.0427537768,-0.2758720623,0.3047364149,0.3257554283,0.0006840631,0.0045520213,0.0012827484,0.0012447474,0.0024075186
0.4187691061,-0.0159407741,0.2770989469,0.1598860555,0.0028758506,-0.0009854804,-0.0012779937,-0.0028361105,-0.0034045344,-0.0062554846
0.4234190269,-0.0639595621,0.0836648339,0.1381484369,0.0627531931,5.90666758829925E-19,-0.0004521716,-0.0026427764,0.0027935706,-0.0019153548
0.4221483555,-0.0331650474,0.0176221582,0.0367293939,0.0251149708,-0.0017951717,-0.0009424957,-0.0060940462,-0.0007979916,-0.0098926474
0.4234190269,-0.0488159496,-0.0068618079,0.0266966586,0.033253805,-5.59285026118708E-19,-0.0007491553,0.0059905076,0.0007698508,-0.0036926685
0.4196116165,0.0275412376,0.0806696817,-0.1198165181,-0.027323718,-0.0018229445,-0.0018259884,0.0054033944,-0.0031851688,-0.0714903474
0.4221483555,-0.0037465287,-0.027628872,0.0268099649,0.0147542225,0,-0.0009380375,-0.000525911,0.0074113197,-0.0164685823
0.4229908659,0.0432936803,-0.0146423491,-0.0033914646,0.0207776887,0.0047438029,-0.000707048,-0.0008403602,0.0009607767,-0.0150586795
0.4229908659,-0.0120138447,0.081397417,0.006674881,0.0138342983,0.0006726158,-0.0008643954,-0.0005070239,0,-0.0397929494
0.4196116165,-0.0357511813,0.0767340439,-0.0301525883,-0.0346136559,-0.0035562351,-0.0025792403,0.0019553115,-0.0054760479,-0.0736742825
0.4225719126,0.0021692564,-0.0537738362,0.0234862676,0.0153515207,7.80079750415624E-19,-0.0004357563,-0.0014791384,-0.0147592798,-0.023880654
0.428487901,0.2040361108,-0.0076730904,0.0502258537,0.0870451934,0.0988302887,0.0039727476,-0.0053573862,0.0082890213,0.0151034265
0.4479254908,0.1986328473,-0.5364405029,0.1969560581,0.3087955798,0.0012705301,0.0108355367,0.067774291,0.0034407853,0.0391464636
0.440738831,-0.0884397747,0.1733164267,0.1385571331,0.1109499987,0.0001376621,0.0004655804,-0.0013024494,-0.0020519798,-0.0038568998
0.4398963206,-0.0457468824,0.0865270117,0.1570596789,0.0628604189,-0.0004811182,-0.0003588409,-0.0022890703,-0.0004496733,0.0020358462
0.4390538102,-0.0231911509,0.0472682505,0.1264277879,0.0311775334,-0.0002122943,-0.000811787,-0.0041408235,-0.0005888279,-0.002584876
0.4314481971,0.0837513067,0.1875705717,0.022537139,-0.0744897074,-0.0028684434,-0.0026552468,-0.1214275967,-0.0053184148,-0.0110114825
0.4352510036,-0.060830181,-0.0128981274,-0.0963627082,-0.0020514227,0,-0.0013687213,-0.000294916,-0.0091131219,-0.0681895569
0.4398963206,0.0887086313,0.0337188648,-0.0064426451,0.0570717767,0.0064981144,0.0006943159,-0.0024023721,0.0083069883,-0.0124777556
0.4301821296,-0.0001278305,0.1473470906,-0.0743126863,-0.0838684451,-0.0038003082,-0.0040067023,0.0072353017,-0.0067768816,0.1412064558
0.4327142647,-0.0671502036,-0.0196780769,-0.048713471,-0.0242914881,-2.08244709610978E-16,-0.0030601244,-0.0006053996,-0.0030412879,-0.0046319859
0.4314481971,-0.0183101717,-0.0001010678,0,-0.0321957571,0.7369400857,-0.0053349606,-0.0004170992,0.005275894,-0.0133817869
