date,open,high,low,close,volume
2009-01-19,39400,40450,39350,39750,672824
2009-01-20,40300,40800,38850,39700,1449845
2009-01-21,41000,44000,40550,42000,3156037
2009-01-22,42300,42550,40800,41500,2011649
2009-01-23,40500,41750,40000,41000,919250
2009-01-28,41450,42500,41400,41950,950942
2009-01-29,41400,41700,40350,40950,1546498
2009-01-30,40700,40750,39750,39800,966645
2009-02-02,39150,39850,38400,38950,1534407
2009-02-03,38550,39250,38300,38500,1647241
2009-02-04,38800,39500,38400,38600,1213661
2009-02-05,39000,39350,38600,38900,736262
2009-02-06,38900,40500,38700,40250,1214418
2009-02-09,40000,41300,39800,40600,1157851
2009-02-10,40650,41450,39300,39700,829109
2009-02-11,39000,40000,38700,39200,556047
2009-02-12,38900,39300,38600,39250,962286
2009-02-13,38850,39600,38500,39350,615952
2009-02-16,38950,39250,38700,39150,483503
2009-02-17,38700,38750,38000,38050,802050
2009-02-18,37700,37900,36200,36700,1459410
2009-02-19,36500,36950,35450,36500,1277873
2009-02-20,36400,36550,35500,35800,835795
2009-02-23,35200,35900,34900,35850,695659
2009-02-24,35200,36000,34500,35800,830051
2009-02-25,36450,38500,36400,37800,2036214
2009-02-26,39200,39850,37900,38100,1580726
2009-02-27,38100,38650,37250,37450,959296
2009-03-02,37300,37500,36450,37450,982153
2009-03-03,37300,37400,36400,36900,829775
2009-03-04,36600,38350,36250,37800,1450220
2009-03-05,37500,38700,37300,38100,1084970
2009-03-06,38000,39300,37750,38900,1297221
2009-03-09,39200,39500,38200,39000,909553
2009-03-10,39000,39250,38350,38650,1180760
2009-03-11,39000,39150,38500,38800,1220416
2009-03-12,38950,39050,38500,38900,1559716
2009-03-13,38700,39000,38500,38900,1093228
2009-03-16,38600,39150,38450,38800,1648603
2009-03-17,38600,38900,38450,38800,1571363
2009-03-18,39050,39100,38300,38600,2092249
2009-03-19,39000,40800,38800,40000,2478354
2009-03-20,39850,40000,39200,39850,1849015
2009-03-23,39700,39950,39250,39350,1520282
2009-03-24,39450,39550,38550,39300,1475649
2009-03-25,39300,39400,38900,39200,1039788
2009-03-26,39050,40400,38950,40100,1747478
2009-03-27,39700,40000,39200,39850,1958071
2009-03-30,39750,39850,39050,39100,1121881
2009-03-31,39200,39550,38500,38500,1485303
2009-04-01,38500,38600,37850,38400,2107672
2009-04-02,38500,38650,38100,38450,1893073
2009-04-03,38400,38700,38250,38500,1265304
2009-04-06,38300,38750,38150,38150,1927380
2009-04-07,38150,38700,38050,38500,1659718
2009-04-08,38600,38800,38300,38400,1470398
2009-04-09,38500,38550,38150,38500,2194073
2009-04-10,38450,38500,38200,38350,1619798
2009-04-13,38350,39200,38250,39000,2636348
2009-04-14,39000,39200,38450,38950,3308168
2009-04-15,38550,38950,38400,38950,3123250
2009-04-16,38750,39150,38550,38600,2522516
2009-04-17,38650,38950,37800,38000,1713492
2009-04-20,38100,38150,36800,37500,1256628
2009-04-21,37000,37650,36700,37600,1019780
2009-04-22,37450,37450,36300,36600,2138195
2009-04-23,36800,36900,35600,36100,2133795
2009-04-24,36200,37250,36050,36700,1543360
2009-04-27,36850,37000,35750,36200,1838109
2009-04-28,35950,36800,35900,36300,1102496
2009-04-29,36300,37100,36050,37050,786145
2009-04-30,37000,37500,36650,37450,1225303
2009-05-04,37200,37450,36900,37450,1135283
2009-05-06,37050,37250,36400,36750,1970661
2009-05-07,36650,36900,36000,36200,1780348
2009-05-08,36000,36850,35850,36800,1429763
2009-05-11,36700,36850,36200,36400,1610831
2009-05-12,36400,37900,36300,37750,2189680
2009-05-13,38000,38750,37900,38300,2070886
2009-05-14,37950,38100,37000,37250,1699714
2009-05-15,37300,37300,36450,36900,1598447
2009-05-18,36700,36800,36150,36400,1057420
2009-05-19,36600,37150,36400,36750,1939579
2009-05-20,36750,36800,36200,36350,1319554
2009-05-21,36300,36350,35900,35900,1234408
2009-05-22,35800,36350,35750,35800,1246249
2009-05-25,35500,36250,33800,35500,1698947
2009-05-26,35750,35850,34450,34750,1488480
2009-05-27,35100,35100,33100,33100,3203436
2009-05-28,33650,35500,33500,35150,2774205
2009-05-29,34900,35100,34000,34000,2158295
2009-06-01,34100,36250,33600,36050,2629732
2009-06-02,36800,36900,35400,35500,1773641
2009-06-03,35550,36250,35250,35800,1433938
2009-06-04,35500,35750,34600,34600,1488409
2009-06-05,34600,35000,34150,34650,985879
2009-06-08,34700,36050,34700,34850,1507875
2009-06-09,35200,35900,35100,35500,1566714
2009-06-10,35700,36950,35650,36800,2106490
2009-06-11,36750,37200,36300,36300,1872309
2009-06-12,36700,37600,36600,37200,1610296
2009-06-15,37150,37600,36750,37500,1292810
2009-06-16,37300,38650,37250,38000,2239830
2009-06-17,38000,38450,37500,37700,1004386
2009-06-18,37600,37850,37000,37050,820664
2009-06-19,37200,37900,36650,37300,1146010
2009-06-22,37750,38700,37600,38150,1730796
2009-06-23,37450,37750,37200,37350,1871562
2009-06-24,37400,37550,36500,36850,1346997
2009-06-25,36850,37150,36650,36750,1620201
2009-06-26,36800,36950,36050,36500,1617714
2009-06-29,36250,36650,36100,36350,767166
2009-06-30,36450,36900,36250,36750,1266445
2009-07-01,36450,37850,36450,37650,1711579
2009-07-02,37950,37950,37200,37600,863674
2009-07-03,36950,37600,36950,37600,747865
2009-07-06,37400,37500,36550,36900,1572073
2009-07-07,36750,36900,36600,36650,992449
2009-07-08,36600,37200,36550,37000,1027880
2009-07-09,37100,37800,37050,37650,1628109
2009-07-10,37750,37950,37300,37750,878975
2009-07-13,37750,37750,36900,37200,905506
2009-07-14,37400,37500,36800,36950,790174
2009-07-15,36950,37200,36550,36700,1054915
2009-07-16,37050,37200,36300,36700,1188970
2009-07-17,36800,37300,36750,37250,1160324
2009-07-20,37250,37500,36850,37100,1502686
2009-07-21,37300,37400,36650,37000,1737639
2009-07-22,37150,37600,37000,37300,1669230
2009-07-23,37600,39050,37550,38900,4428033
2009-07-24,39350,39450,38850,38850,1953088
2009-07-27,38900,39500,38650,38750,1806866
2009-07-28,38750,39350,38600,39050,1210078
2009-07-29,39200,40250,39150,39950,2678355
2009-07-30,39850,40600,39800,39800,2137896
2009-07-31,40000,40400,39650,39700,1379731
2009-08-03,39900,39900,39000,39000,2071990
2009-08-04,39300,39300,38300,38850,1971188
2009-08-05,38600,38800,38350,38750,1357992
2009-08-06,38700,39700,38500,39550,2142206
2009-08-07,39600,39850,39000,39600,1963091
2009-08-10,40050,40600,39850,40000,1927713
2009-08-11,40400,40900,40350,40600,2324556
2009-08-12,40600,40600,39900,39900,1444223
2009-08-13,40100,40400,39350,39400,1890481
2009-08-14,39500,39650,39100,39550,1287678
