"close_lastclose_ratio","volume_ma15_ratio","trsrange_ratio","b_middle5_ratio","ema5_ratio","adx5_ratio","aroonup5_ratio","willi5_ratio","cmo5_ratio","ppo5_ratio"
-0.1426112614,-0.0877215226,-0.0238095238,0,-0.1707085417,-0.0063039784,-0.05,0.0310496163,0.0189194787,0.0534435148
0.1150793651,-0.0635099177,-0.0686813187,0.1235665362,-0.0156684697,-0.0050595593,-0.0666666667,-0.0110927152,-0.0120121576,0.0193141418
-0.1428571429,-0.0860464701,0.1116071429,-0.1848411256,-0.1337338601,0.1432268749,-0.1,0.0179390146,0.0300789476,-0.00752261
-0.1152795031,-0.0920688113,-0.0686813187,-0.3093419917,-0.1883701713,0.292216445,-0.2,-0.0044440572,0.0082447884,-0.0303399706
0.0290217663,-0.0923765652,-0.0223214286,-0.1401695841,-0.1012905944,-0.0541239025,0.2,-0.0037527594,-0.0031312067,0.0154426121
0.0579420579,-0.0958731855,-0.0255102041,-0.0312463397,-0.0178834168,-0.0445367859,-0.2,-0.009605277,-0.0080774944,0.0009997198
0.3175709308,0.0125153947,0.2380952381,0.0781702474,0.2621052263,-0.0720089048,1,-0.0514433284,-0.0518610492,0.001365423
0.0566544567,0.0326856281,-0.1020408163,0.1872825447,0.2231983234,0.131204646,0,0.1219646799,0.0037298301,-0.0103554165
0.2823071307,0.1500122257,0.2083333333,0.4040933688,0.3943576032,0.2766194005,0,-0.0446448961,0.0117033786,-0.053834039
-0.2220626944,0.0597947847,0.0412087912,0.2618582613,0.0652431883,-0.0085375124,0,0.4684247871,-0.0132828206,0.013280864
-0.2813485326,0.11044324,-0.0111607143,0.0765705834,-0.200286485,-0.3582572304,-0.04,0.0716873267,-0.0365145319,0.0019693472
-0.0286207747,-0.0707472556,-0.0952380952,-0.1070163196,-0.158635947,-0.3512092208,-0.05,0.0079005461,0.0034243007,-0.0030223634
0.2293623332,-0.0141580031,0.1275510204,-0.01532457,0.090463511,-0.1439109321,-0.0666666667,-0.0225165563,-0.0305934093,-0.0040450751
0.2545099951,0.0252852652,0.0595238095,-0.030659604,0.2809067735,0.3452063685,-0.1,-0.042218543,0.0386723322,-0.0114974607
-0.1114045618,0.0318729305,-0.0446428571,0.0306805535,0.0885917428,0.443147883,0.8,0.1300525234,-0.009423436,-0.020481807
0.2523567803,-0.0493270546,-0.0148809524,0.3219258423,0.27777781,0.2888056393,-0.04,-0.042218543,0.0235326037,-0.0871319475
-0.4142857143,0.0185733039,0.211038961,0.1065447223,-0.1783910756,-0.3621926388,0.05,0.2947731966,-0.0239172162,0.0176573127
0.0283272283,-0.0321168228,-0.1116071429,0,-0.0951637289,-0.3559485666,-0.04,0.0074694345,-0.0059475932,0.0006101509
-0.3393466602,0.1008249202,0.1388888889,-0.3188775083,-0.3553483972,0.1017839478,-0.05,0.0183317358,0.0765297687,-0.0111052344
-0.5196615231,0.4270727166,0.0892857143,-0.5352638465,-0.6801759154,0.5209897871,-0.0666666667,-0.0025696009,0.0127425856,-0.0676948265
-0.4768756423,0.2195376141,-0.0595238095,-0.9286657725,-0.8593309286,0.425642127,-0.1,0.0045952156,0.0038643502,0.0478613583
0.1534391534,0.0456706287,-0.0111607143,-0.6321857107,-0.4574873359,0.3281264869,-0.2,-0.0138421453,-0.0046349599,0.0072043547
-0.2128440367,0.0116663284,0,-0.769456453,-0.4881335471,0.2246527652,0,0.0082342233,0.0025014454,0.0052251863
-0.400424854,0.3044503535,0.1071428571,-0.7991821703,-0.6670264075,0.1931681008,0,0.0040939193,0.0032380759,0.0024818702
-0.2840816327,0.134789478,-0.0967261905,-0.6642158299,-0.6892974083,0.154077084,0,0.004415011,0.0014526768,0.0005790974
-0.3532668882,0.2823385265,0.1785714286,-0.5899154105,-0.7621624007,0.1385029544,0,-0.0026805424,0.0013181527,-0.0014748235
0.1640735502,0.1581035516,-0.0811688312,-0.5977689819,-0.3807153968,0.1076037871,0.4,-0.0103200883,-0.0046818202,-0.0001641414
-0.162464986,0.1084095414,0.0446428571,-0.5712153713,-0.393878671,-0.129208569,-0.1,0.0080416272,0.0014621157,-0.0009563103
0.03281471,0.1364258147,-0.0119047619,-0.3331194111,-0.2372023435,-0.0936057535,-0.2,-0.0070364238,-0.0014077699,-0.0023825646
0.3274985884,0.0448396518,-0.012755102,0,0.1206788143,-0.1433034214,0,-0.0302365184,-0.0134899165,-0.0039535413
0.4174972315,-0.0207488122,0.0412087912,0.4239275226,0.4428077985,-0.3245332629,1,-0.0416321744,-0.0383485744,-0.0079113221
-0.0626519039,-0.1470917699,-0.0558035714,0.297473434,0.236979431,-0.2883553522,0,0.0637969095,-0.0068776509,-0.0135233154
