"volume_lastvolume_ratio","ad_ratio","ma5_ratio","wma5_ratio","apo5_ratio","aroonup5_ratio","aroonosc5_ratio","rsi5_ratio","macdhist5_ratio","cmo5_ratio"
0.0399848027,0.1529132532,-0.0503773108,-0.1452329518,-0.007063687,-0.05,-0.25,-0.0249565277,-0.0646346652,-0.0143111827
-0.0504479952,0.0797498035,-0.1168926408,-0.1643591113,-0.0144656541,-0.0666666667,0.0833333333,-0.0097845402,0.001826709,0.0017244706
0.0475476369,-0.1384397286,-0.1145613152,-0.0516766083,-0.0290222792,-0.1,0,0.0407313311,-0.0017218507,-0.0045647523
0.0433201932,-0.1475069014,-0.0480603053,0.081048912,0.3790019301,-0.2,0,0.0242035675,-0.0044780395,0.049268181
0.0616425368,-0.080498345,0.0417933431,0.1040573361,0.0006105825,0,-0.0555555556,0.0016174659,0.0787729005,0.0003278932
0.0232281456,0.0140882784,0.2808953663,0.3454982297,-0.0312192207,1,-0.5,0.0253588049,0.0201079809,0.0048536665
-0.0977543762,-0.0843668151,0.3280710516,0.3007457186,0.3057261558,-0.04,0,0.0018706614,0.0006163694,0.0002120644
-0.0174695622,-0.0859993622,0.2951856454,0.2393848328,0.0234446916,0.05,0.0416666667,0.0016516884,-0.0006030509,0.0001818783
-0.0167010423,0.0457817333,0.1752631138,0.0782456227,0.0069860219,-0.04,-0.0333333333,-0.0187112851,-0.0028042185,-0.002010467
-0.0118088143,-0.0042485479,0.15166607,0.0046738054,0.0028673871,-0.05,-0.0416666667,-0.0067706243,-0.005892207,-0.0011082759
-0.0152452967,0.0207993823,-0.0031482087,-0.0256312615,-0.0061493216,-0.0666666667,-0.2777777778,0.0026869486,0.0069989183,0.0005527023
-0.0155391298,0.0338680606,-0.0656703667,-0.0751733699,-0.0112727041,-0.1,0.1666666667,-0.017874779,0.0038366573,-0.0033456103
0.0327724126,0.0768740509,-0.1349872809,-0.1206658559,-0.0213474219,-0.2,0.0416666667,-0.0217794852,0.0020508918,-0.015758849
-0.0471369599,0.0193458792,-0.085456231,-0.081731734,-0.0590586079,0,0,0,-0.0001529176,-8.24642085125327E-19
0.0040355997,0.0309749378,-0.0700107492,-0.0569715575,0.0437237594,0.2,-0.0666666667,1.6209109095969E-17,-0.0007563907,-8.24642085125327E-19
0.0891847296,0.0839583425,-0.1213758683,-0.0974903168,0.0088918041,-0.2,0.1111111111,-0.0277531406,0.0002680237,0.0056477892
-0.0249382343,0.0520697286,-0.083646913,-0.0575766496,0.0009063513,0,0,0.0064182765,-0.000889385,-0.0003929115
-0.0368185518,0.0497412715,-0.0581825031,-0.0615516375,-0.004393995,0,0,-0.0160808882,-0.0006050949,0.0011599091
0.0685353108,0.0549583924,-0.0940976428,-0.0970485139,0.0004170669,0,0,-0.026454245,0.0002389719,0.0012393391
-0.0367288919,0.0358176603,-0.0848724423,-0.0555999358,0.0008237713,0,-0.0333333333,0.0368321038,-0.0014917812,-0.0009560394
-0.0042574503,0.0516729731,-0.068891413,-0.0692379111,-0.0034004339,0.2,0,-0.0211715249,-0.0005201674,0.0009903756
-0.0240511909,-0.0105810827,-0.0724591724,-0.0492762232,-0.0009130049,-0.2,0.0416666667,1.68856559354071E-17,-0.0017414669,9.89527185623635E-19
0.0152869539,0.02356962,-0.0529581808,-0.0281176575,-0.0004685529,0,-0.0333333333,-1.68856559354071E-17,-0.002985825,-9.89527185623634E-19
0.062916311,0.0574235606,-0.0464770384,-0.0563332864,-0.003603967,0,0.0416666667,-0.0310570368,0.0030894239,0.0009099967
0.0189278457,-0.0040856575,-0.0432207962,-0.0233611437,-0.0036035891,0,0,0.0968105308,-0.0052839096,-0.0015571565
0.0171961048,-0.0733656902,-0.0100105386,-0.0009833827,-0.0057372536,0,0,0.0227115727,0.02492414,-0.0011781461
-0.0429523133,0.0603148315,-0.0100165359,0.0019466201,-0.0076578144,0.2,-0.0666666667,1.997885980479E-17,0.0017363041,8.93111948539241E-19
-0.0350482663,0.0297681983,-0.016681114,-0.0048557668,-0.0061612443,-0.2,0,-0.0113413444,-0.0003333791,0.0010139808
0.0447641061,0.0154687776,0.0334302621,0.0292760818,-0.0173189065,1,-0.3333333333,0.071119335,0.0022197014,-0.0045053867
-0.0021306018,-0.0030257172,0.0500280043,0.0633438984,-0.0548385825,0,0.0555555556,0.0327439212,0.002401156,0.0561901592
-0.0605668957,0.0109684572,0.0399306376,0.0436834217,0.0293814349,-0.04,0,-0.0045514556,-0.0004005903,-0.000738796
0.0758698197,0.0413231086,0.0099588746,-0.0116143081,0.0056722054,-0.05,-0.0833333333,-0.0331309764,-0.0026557072,-0.0061978871
-0.0196762321,-0.0430865101,0.0265182299,0,0.0101717014,-0.0666666667,-0.4166666667,0.0162309819,-0.0014974099,-0.0042089279
-0.0324037726,0.0238982199,-0.0066018667,-0.0270980754,-0.0068493142,-0.1,0,-0.0164851326,-0.0043242752,1
0.0891001501,-0.0287397434,0.0099411102,0.0426816859,-0.0091311019,-0.2,0,0.058222365,0.5531726176,-0.0122478234
-0.0555349149,0.0132378564,0.0066005499,0.0299622141,-0.0114283689,1,-0.3333333333,-0.0067535577,-0.0002232281,-0.0012174495
0.0517678588,0.0376235797,0,-0.0250996901,-0.005876287,-0.04,0,-0.0309507901,-0.0052142526,-0.0072668787
0.0080981479,-0.018248133,0.0231615366,0.0232048146,-0.0024846792,-0.05,0,0.0361488472,-0.0113728977,-0.0078997399
0.0003630882,-0.0128647008,0.0429302641,0.0260353424,0.0410709824,-0.0666666667,-0.0555555556,0.0044133004,0.0035467821,0.0015426643
0.0278959025,0.0287118235,-0.0296764284,-0.0250585047,-0.0131691352,-0.1,-0.25,-0.0226284688,-0.0061696264,-0.0060702826
-0.0606876395,0.0323828814,-0.0264030934,-0.0212219157,-0.0210940565,-0.2,0,-0.0033980418,0.0063831227,0.0015871452
0.0564675212,-0.0090997112,0.0165537925,-0.0038349188,0.045872203,0.4,-0.5,0.0099913319,-0.0013645099,-0.0032698607
0.2378320711,0.049598467,-0.013209349,-0.0038560055,-0.0376964351,0.3,-0.1666666667,0.0048857661,-0.0025116188,-0.0077979986
-0.0664228135,0.0318033344,-0.0065927282,0.0193453652,0.1368559032,-0.04,0,0.0177176532,-0.0122235506,0.0352842246
-0.0103120436,0.0586023932,-0.0065953289,-0.0173738425,-0.0106819596,-0.05,0,-0.0309893671,-0.009564041,-0.0078617238
0.0066886228,0.012148598,0.023161489,0.0231993017,-0.0374444325,-0.0666666667,0,0.0399508298,-0.007306307,-0.0078834276
-0.0356970494,0.0075888684,0.0165063267,0.016404371,-7.0824592081446E-05,-0.1,0,0,0.0024608026,0
0.0380916028,0.0382287627,-0.0032911528,-0.0125198939,0.0205213338,-0.2,0,-0.0207668352,-0.0061494656,-0.006777324
-0.0331270392,-0.0087314636,-0.0164932933,-0.0115682445,-0.0117351627,0.4,-0.25,0,0.0045468374,-3.09286769479604E-18
-0.0224664629,0.0121928374,0,-0.0212486042,0.0136335505,-0.1,0.0555555556,-0.016125418,0.0039468106,0.0067939016
-0.005392315,0.0351789999,-0.0396435855,-0.0406198262,-0.0867323101,-0.2,0.0416666667,-0.0208500169,0.0025235639,0.0027880309
0.0480619349,0.03756283,-0.0563554386,-0.0534270051,0.0464267939,0,0,-0.0242100019,0.0016990008,0.0015150957
0.0281793841,0.055924082,-0.0598600917,-0.0662317106,0.0133222949,0,0,-0.0260539132,0.0011922063,0.0008889095
0.0995915496,-0.0166968397,-0.0767742781,-0.0733987975,0.0094957704,0,0,-0.0210621539,0.0003652174,0.0004279495
-0.0664033134,0.0299941286,-0.0737523401,-0.0609459638,0.0086133649,0,-0.0333333333,-0.0094274037,-0.0007287398,0.0001346721
0.0390318031,0.0381397068,-0.0774701888,-0.0641834984,0.0032815474,0,-0.0416666667,-0.0224599018,-0.0003532294,0.0002795166
0.3353490182,0.2138524185,-0.1758920463,-0.2102523182,0.0093085483,0,0.1111111111,-0.0626437251,0.0087273601,0.000555199
-0.0799319595,-0.0807685783,-0.0991393228,-0.0754424145,0.0021835744,0,0,1,-0.0020947764,-0.0025728164
0.1951020028,0.1800254283,-0.226991768,-0.2589250265,0.0079083859,0,0,-0.0445176839,0.0052810141,0.0034265103
0.0414227902,-0.2539891735,-0.2440887309,-0.2265211455,0.0068533909,0,0,-0.0073252696,-8.10202566620791E-05,0.0001628293
-0.0638114019,0.1544848306,-0.2901708684,-0.245785509,0.0067381586,0,-0.0333333333,-0.0203011666,0.000007886,0.0004004106
0.016173128,0.1288733355,-0.1836673841,-0.1787120955,-0.000090412,0,-0.0416666667,-0.0042722158,-0.0013484935,6.02228492260771E-05
0.0216749958,0.1017544064,-0.2985758566,-0.2013396914,0.0048754904,0.2,0.0555555556,-0.0196590076,-0.0008209344,0.0002607166
-0.0268473745,-0.1500918291,-0.0852860791,-0.0218514252,-0.0033569298,-0.2,0.0416666667,0.2306075647,-0.0054586826,-0.0022735926
-0.0187047076,-0.0308136278,-0.0186456046,0.0688757056,-0.0057839057,0.2,-0.0666666667,0.0365856378,0.0201998074,-0.0027079197
-0.0704484791,0.0044622155,0.0373328435,0.0631534215,-0.0103775046,-0.2,0,-0.0032925852,0.0009061117,0.000942864
-0.0201176195,0.0459986053,0.0260824955,0.0195284658,-0.0105295027,0.6,-0.2222222222,-0.0109372268,-0.0006496463,0.0024707216
0.0160669133,0.0210949525,0.0817521797,0.0173118297,-0.0306524375,-0.0666666667,0,0.0038139538,-0.0004272672,-0.0004801206
-0.0385473429,0.0366668464,0.0111339171,-0.0172577499,0.0647992901,-0.1,0,-0.0052310493,-0.0007400281,0.0007731956
0.1078834666,0.0447646824,-0.0554407014,-0.0530587823,-0.0074018451,-0.2,-1,-0.0162774805,-0.0015292271,0.001920071
0.0052055511,-0.0146811646,-0.0185545495,0.0065056346,-0.0152261173,0,0,0.0494294979,0.0010665836,-0.0033104926
-0.0588753755,-0.0219751339,0.0148370084,0.028219903,-0.0068700466,0.2,-0.0666666667,0.0106113635,0.0005069692,-0.0050012385
-0.0276028173,-0.0043627406,0,0.0075813401,-0.0669895262,-0.2,0,-0.0099382969,-0.0008821655,-0.0286199335
-0.0134521081,0.0251335873,0,-0.0032153452,0.0063487572,0.4,-0.1666666667,-0.0075823446,-0.0013009487,0.0033836057
