date,open,high,low,close,volume
2019-08-16,126500,128000,125000,128000,352114
2019-08-19,127500,129500,127500,128000,242024
2019-08-20,127500,128500,125000,126500,481643
2019-08-21,126500,127500,124000,125500,530685
2019-08-22,126000,126500,124000,124000,480559
2019-08-23,123000,126000,123000,126000,256322
2019-08-26,124000,126000,123500,124500,391828
2019-08-27,125000,126500,124000,125000,1043657
2019-08-28,128500,130500,127000,127500,766622
2019-08-29,127500,128000,126000,126500,393472
2019-08-30,127500,129000,127000,128500,433515
2019-09-02,128000,132000,127500,131000,385326
2019-09-03,131500,132000,127500,128500,505454
2019-09-04,128000,129000,127000,128500,496326
2019-09-05,128000,129000,127000,128000,478990
2019-09-06,128000,128500,126500,127500,380856
2019-09-09,127500,128500,126000,127000,378542
2019-09-10,127000,128500,126500,128000,458487
2019-09-11,128500,129000,127500,129000,756459
2019-09-16,128500,129500,126000,128000,777956
2019-09-17,127500,128000,125500,126000,610086
2019-09-18,126000,128500,125500,127500,537604
2019-09-19,127500,129000,126500,129000,618746
2019-09-20,128500,130500,128000,129500,718752
2019-09-23,129500,133500,129000,133000,1007214
2019-09-24,134000,135000,132000,134000,615506
2019-09-25,133000,135000,131500,134500,448004
2019-09-26,136000,136500,132000,133000,453068
2019-09-27,134000,134000,131000,133500,348902
2019-09-30,133500,135500,133000,134000,429631
2019-10-01,134000,134000,131500,132500,388512
2019-10-02,131000,131500,128000,128500,448012
2019-10-04,129500,130000,126500,126500,488988
2019-10-07,128000,129000,127000,128000,258951
2019-10-08,128000,130500,127500,129500,391115
2019-10-10,127000,128000,125500,126500,771396
2019-10-11,127000,127500,126000,126000,369552
2019-10-14,125000,126000,122000,122000,1260866
2019-10-15,122000,123000,120500,122000,661262
2019-10-16,123000,124000,122000,123000,433874
2019-10-17,123000,124500,122000,123000,519468
2019-10-18,123500,124500,122500,123000,418395
2019-10-21,124000,124000,122000,122000,372561
2019-10-22,121500,122500,120000,122000,523445
2019-10-23,121500,122500,120500,121000,511570
2019-10-24,121000,122500,120000,122000,655232
2019-10-25,122000,124000,121500,123500,983777
2019-10-28,124500,125000,121500,121500,564300
2019-10-29,122000,123000,121500,122500,797389
2019-10-30,122500,123000,121500,122500,400285
2019-10-31,122500,123500,121500,122000,441488
2019-11-01,121500,124000,121000,124000,470554
2019-11-04,123500,125000,123000,124000,475831
2019-11-05,124000,125500,124000,125000,471601
2019-11-06,125500,126000,123500,123500,682414
2019-11-07,123500,124500,123000,123500,853783
2019-11-08,124000,124500,123500,124000,335809
2019-11-11,124000,124500,123500,123500,370258
2019-11-12,123500,125500,123500,125500,598855
2019-11-13,125000,126000,124500,124500,528121
2019-11-14,125000,125000,124000,124500,540352
2019-11-15,124500,125500,124000,125500,469109
2019-11-18,125000,126000,124500,126000,596279
2019-11-19,125000,126000,124500,125000,537780
2019-11-20,124500,124500,123500,124500,593391
2019-11-21,124000,124500,123000,124500,724349
2019-11-22,124000,125500,123500,123500,707333
2019-11-25,124000,125500,123500,125000,640837
2019-11-26,124500,125500,122500,122500,1854318
2019-11-27,123000,124000,123000,123500,697261
2019-11-28,123500,125000,123000,124000,742295
2019-11-29,123500,124500,120000,121000,1016506
2019-12-02,121000,121500,118500,121500,862135
2019-12-03,120000,121500,119000,121500,849994
2019-12-04,120000,124000,120000,122000,1498918
2019-12-05,121500,122500,117500,118000,1560647
2019-12-06,118500,119500,118000,118500,1504634
2019-12-09,119500,120500,119000,119500,902113
2019-12-10,119500,120500,119000,120000,784383
2019-12-11,120500,120500,119000,119000,1015977
2019-12-12,119500,120500,119000,120000,5201616
2019-12-13,121500,122500,119500,121000,1058172
2019-12-16,120500,121000,119000,119000,1015046
2019-12-17,119500,123000,119000,122000,1904603
2019-12-18,122000,123500,120500,123000,1135407
2019-12-19,122500,123500,122000,123500,905299
2019-12-20,124000,124000,122500,124000,1001899
2019-12-23,124000,125000,122000,122500,1462906
2019-12-24,123000,123000,121500,122000,600726
2019-12-26,122500,123000,121500,122500,552469
2019-12-27,121000,121000,120000,120500,422565
2019-12-30,120500,121500,120000,120500,467794
2020-01-02,121000,121000,118000,118000,556532
2020-01-03,118500,119000,115000,116000,1145187
2020-01-06,116000,117000,115500,116000,334574
