date,open,high,low,close,volume,close_ma5,volume_ma5,close_ma10,volume_ma10,close_ma15,volume_ma15,close_ma30,volume_ma30,close_ma60,volume_ma60
2019-08-16,28600,28850,28150,28350,335508,,,,,,,,,,
2019-08-19,28400,28600,28250,28450,255709,,,,,,,,,,
2019-08-20,28300,28750,28050,28550,337834,,,,,,,,,,
2019-08-21,28550,28850,28150,28250,487234,,,,,,,,,,
2019-08-22,28250,28500,28150,28400,332308,28400.0,349718.6,,,,,,,,
2019-08-23,28400,28600,28200,28200,208894,28370.0,324395.8,,,,,,,,
2019-08-26,27900,28200,27650,28100,181548,28300.0,309563.6,,,,,,,,
2019-08-27,28000,28150,27850,27850,385761,28160.0,319149.0,,,,,,,,
2019-08-28,28000,28000,27700,27850,172864,28080.0,256275.0,,,,,,,,
2019-08-29,27900,28350,27850,28300,232436,28060.0,236300.6,28230.0,293009.6,,,,,,
2019-08-30,28300,28450,28200,28250,348068,28070.0,264135.4,28220.0,294265.6,,,,,,
2019-09-02,28000,28400,27950,28400,291924,28130.0,286210.6,28215.0,297887.1,,,,,,
2019-09-03,28200,28350,28050,28300,299058,28220.0,268870.0,28190.0,294009.5,,,,,,
2019-09-04,28100,28800,28100,28800,458075,28410.0,325912.2,28245.0,291093.6,,,,,,
2019-09-05,28550,29350,28550,28950,571663,28540.0,393757.6,28300.0,315029.1,28333.333333333332,326592.26666666666,,,,
2019-09-06,28750,29200,28700,29100,279191,28710.0,379982.2,28390.0,322058.8,28383.333333333332,322837.8,,,,
2019-09-09,28950,29300,28950,29150,207036,28860.0,363004.6,28495.0,324607.6,28430.0,319592.93333333335,,,,
2019-09-10,29200,29450,29100,29150,420497,29030.0,387292.4,28625.0,328081.2,28470.0,325103.8,,,,
2019-09-11,29400,29900,29350,29600,555829,29190.0,406843.2,28800.0,366377.7,28560.0,329676.8,,,,
2019-09-16,29750,30300,29450,30100,235950,29420.0,339700.6,28980.0,366729.1,28673.333333333332,323252.93333333335,,,,
2019-09-17,29300,30100,29300,29850,189844,29570.0,321831.2,29140.0,350906.7,28783.333333333332,321982.93333333335,,,,
2019-09-18,29650,29850,29400,29450,241091,29630.0,328642.2,29245.0,345823.4,28873.333333333332,325952.4666666667,,,,
2019-09-19,29400,29800,29250,29550,226976,29710.0,289938.0,29370.0,338615.2,28986.666666666668,315366.8,,,,
2019-09-20,29550,29600,29050,29250,358674,29640.0,250507.0,29415.0,328675.1,29080.0,327754.13333333336,,,,
2019-09-23,29300,29500,29100,29350,131864,29490.0,229689.8,29455.0,284695.2,29150.0,321049.3333333333,,,,
2019-09-24,29500,29600,29150,29300,209282,29380.0,233577.4,29475.0,277704.3,29220.0,311796.93333333335,,,,
2019-09-25,29600,30400,29400,30200,350331,29530.0,255425.4,29580.0,292033.8,29340.0,315690.73333333334,,,,
2019-09-26,29950,30250,29450,29700,192820,29560.0,248594.2,29635.0,269266.1,29433.333333333332,308608.2,,,,
2019-09-27,30200,30200,29450,29500,134566,29610.0,203772.6,29625.0,227139.8,29480.0,287040.93333333335,,,,
