"open","high","natr5_ratio","aroonup5_ratio","willi5_ratio","mom5_ratio","macd5_ratio","dx5_ratio","ppo5_ratio","rocr5_ratio"
0.911251981,0.9230769231,0.0183969144,-0.2,-0.0471981661,-0.0590277778,-0.0053086691,-0.0122282738,-0.0066868729,0.3643408876
0.9350237718,0.9309262166,-0.186116526,1,-0.0236587005,0.1,-0.0072095902,0.1150783663,-0.0114645781,0.2552999931
0.9270998415,0.9183673469,0.0980992229,-0.04,0.2814569536,-0.0245098039,-3.36381376210378E-05,-0.0019888154,-0.019525051,-0.2072186371
0.9175911252,0.9199372057,0.0130226612,-0.05,0.0310496163,-0.0416666667,0.0035056291,0.0065324039,0.0534435148,-0.147549656
0.9160063391,0.9152276295,-0.1471615537,-0.0666666667,-0.0110927152,0.0476190476,-0.0021526064,1.72529109152167E-18,0.0193141418,0.1712814189
0.9239302694,0.9183673469,0.0430825073,-0.1,0.0179390146,-0.1041666667,0.0019023324,0.0052123583,-0.00752261,-0.4158225459
0.9064976228,0.8995290424,-0.1101175191,-0.2,-0.0044440572,0.0277777778,0.0029802023,0.0050987281,-0.0303399706,-0.1675047348
0.911251981,0.9042386185,-0.1381039253,0.2,-0.0037527594,-0.0229166667,-0.0001281854,-0.0059232551,0.0154426121,0.2326020472
0.9049128368,0.9042386185,-0.1562129522,-0.2,-0.009605277,-0.0324074074,-0.0021614978,0,0.0009997198,0.1494995371
0.9064976228,0.9199372057,0.1241677236,1,-0.0514433284,-0.1458333333,-0.0101857358,-0.0013734046,0.001365423,0.1486133325
0.9302694136,0.9277864992,-0.1556082524,0,0.1219646799,0.0583333333,-0.0251658412,0.0079035475,-0.0103554165,0.1487252282
0.9318541997,0.9387755102,0.0931951847,0,-0.0446448961,0.0486111111,0.0501876901,0.0049850265,-0.053834039,0.2958828932
0.9429477021,0.9387755102,0.22203692,0,0.4684247871,-0.0144230769,-0.0006460018,-0.0047314237,0.013280864,-0.185232104
0.9286846276,0.9230769231,0.1422250788,-0.04,0.0716873267,-0.0294117647,-0.008895901,-0.0125268573,0.0019693472,-0.2498689528
0.911251981,0.9136577708,-0.1456661588,-0.05,0.0079005461,-0.1,-0.0157244488,1.35767690475759E-17,-0.0030223634,-0.2510319671
0.911251981,0.9199372057,0.0038440163,-0.0666666667,-0.0225165563,-0.0357142857,-0.0777698126,0.0580354258,-0.0040450751,0.1271997489
0.9318541997,0.9340659341,0.1177657598,-0.1,-0.042218543,0.0416666667,0.0501235519,0.0241505212,-0.0114974607,-0.0201985484
0.9524564184,0.9466248038,0.0052566244,0.8,0.1300525234,-0.0833333333,0.0011151849,0.0045586448,-0.020481807,0.0828893469
0.9540412044,0.9450549451,-0.0598699918,-0.04,-0.042218543,0.3958333333,0.0082306765,-3.19581020648594E-18,-0.0871319475,0.4012311123
0.9572107765,0.9497645212,0.4079949927,0.05,0.2947731966,-0.0277777778,-0.0070452005,-0.0130103393,0.0176573127,-0.285507308
0.9302694136,0.9277864992,-0.1336701616,-0.04,0.0074694345,-0.0416666667,-0.0072529305,-4.31694352228037E-17,0.0006101509,-0.1465407695
0.9270998415,0.9246467818,0.1098350864,-0.05,0.0183317358,-0.125,-0.0377578226,0.1494881516,-0.0111052344,-0.4322336982
0.911251981,0.9042386185,0.3231671197,-0.0666666667,-0.0025696009,0.0277777778,0.0381072852,0.0129607237,-0.0676948265,-0.3037521973
0.8795562599,0.8728414443,0.0550927369,-0.1,0.0045952156,0.0297619048,0.011214033,0.0018384595,0.0478613583,-0.5308337715
0.8494453249,0.8555729984,-0.0355675711,-0.2,-0.0138421453,-0.0138888889,0.0014393624,0.0009927468,0.0072043547,0.4303181326
0.8494453249,0.8555729984,0.0067122755,0,0.0082342233,0.0083333333,0.001274177,0,0.0052251863,-0.1779263034
0.8431061807,0.8555729984,0.2380792412,0,0.0040939193,0.0008680556,0.0022060029,0.0007935387,0.0024818702,-0.0460816747
0.8256735341,0.8273155416,-0.0988046269,0,0.004415011,-0.0076530612,0.0016359587,0.0003470511,0.0005790974,0.1797345882
0.8177496038,0.8241758242,0.172480864,0,-0.0026805424,-0.0052083333,0.0015355755,0.0006574374,-0.0014748235,0.0940560218
0.7971473851,0.8037676609,-0.1222675117,0.4,-0.0103200883,0,-0.0007681194,0.0001150563,-0.0001641414,0.0077869334
0.8098256735,0.8163265306,-0.0081253185,-0.1,0.0080416272,-0.0023809524,-0.0006149219,-0.0061036185,-0.0009563103,0.0377155592
0.8129952456,0.8116169545,-0.0458922603,-0.2,-0.0070364238,-0.0176767677,-0.0013626816,0.0008369408,-0.0023825646,0.328100904
0.8082408875,0.8147566719,-0.0903008826,0,-0.0302365184,-0.0416666667,-0.0032934793,-0.0028365239,-0.0039535413,0.4598533746
0.8209191759,0.8351648352,-0.0211531441,1,-0.0416321744,-0.0526315789,-0.0059111625,-0.0103056896,-0.0079113221,0.5820176531
0.8431061807,0.8367346939,-0.0911194761,0,0.0637969095,-0.0121527778,-0.0056511286,0.004055196,-0.0135233154,-0.1659120108
0.8351822504,0.8273155416,-0.0352863822,-0.04,0.0656732892,-0.0049019608,-0.0018509006,-0.0006707144,-0.0717389363,-0.0430254985
0.822503962,0.8210361068,-0.0921477807,-0.05,0.0216505349,-0.0083333333,-0.0006773891,0.0070948085,0.013778195,-0.0712121117
0.8399366086,0.8335949765,-0.0069651523,-0.0666666667,-0.0281456954,-0.0034722222,-0.0076281587,-0.0041454984,0.002611723,-0.0286821145
0.8272583201,0.8210361068,0.2371794426,-0.1,0.1024791985,-0.1098484848,0.0144929736,0.0071936335,-0.0087258149,-0.6636334003
0.8034865293,0.7990580848,0.0560308887,-0.2,-0.000072076,0.0185185185,0.0105961618,0.0158094955,-0.0190595367,-0.1940926945
0.8019017433,0.8021978022,-0.1132084816,0.4,-0.0131346578,-0.0224358974,-0.0005772662,-0.0027249973,0.0737299435,0.3382722553
0.8066561014,0.8037676609,-0.1075968177,-0.1,-0.0048949035,-0.0138888889,-0.0020974065,-0.0019228414,0.0099166302,0.0956854563
0.7987321712,0.7912087912,0.0857013273,-0.2,0.038867865,0.1223958333,0.0054579422,0.0071312934,0.0132654787,-0.5513873058
0.7844690967,0.7802197802,0.03706107,0,-0.0190818274,-0.0171957672,0.0024358885,0.0056953452,0.0002035713,0.3069871756
0.7916006339,0.7880690738,-0.0230355989,0.4,-0.004330107,-0.0259009009,-0.0002221296,-0.0051298965,-0.0031595764,0.2824873947
0.7757527734,0.7708006279,-0.0897789887,-0.1,0.0140728477,0.068452381,0.0005045634,0.0027906506,0.0014915439,-0.2787737298
0.7741679873,0.7723704867,-0.1914240384,-0.2,0.0020654722,0.0101351351,0.000200905,-0.0015809958,0.0030649495,-0.1103272713
0.7709984152,0.7637362637,0.1364180979,0,0.0136732131,-0.0018115942,0.0035122249,0.0068277217,-0.0014216159,0.0089575323
0.7503961965,0.7480376766,0.1937701925,0.2,0.0009875683,0.0198863636,0.0041003519,0.0022509202,0.002776213,-0.2766926785
0.734548336,0.7394034537,-0.0578144164,-0.2,-0.0043977649,-0.0012820513,0.000377739,-2.5173890409631E-18,0.004060407,0.0291695294
0.7385103011,0.7331240188,0.026151504,0.2,-0.0048708875,-0.0026455026,-0.0001853862,0.0008676803,0.0015917654,0.0457773388
0.7369255151,0.7394034537,-0.0502936482,-0.2,-0.0058997708,-0.0063559322,-0.0013591945,-0.0040012326,0.0004039132,0.1163871845
0.7131537242,0.7213500785,0.0087882677,0,-0.0041617047,-0.0158333333,-0.0008248765,0.0031949267,-0.0006347965,0.2401100737
0.7242472266,0.726844584,-0.1474483987,0,-0.0044554962,-0.0349462366,-0.0012302069,-0.003571263,-0.0035760809,0.3456496715
0.7171156894,0.7519623234,0.3851756073,1,-0.0547816599,-0.3083333333,-0.0068513632,-0.012111673,-0.0074591446,0.4929034526
0.763866878,0.759811617,-0.0473964846,0,1,-0.0078125,-0.0054001067,0.0283066123,-0.0123189833,-0.0749730698
0.7472266244,0.7448979592,-0.1283583705,-0.04,0.0255869958,-0.0224358974,-0.0017448773,-0.0127763894,-0.0363868953,-0.1819121442
0.7393026941,0.7386185243,-0.1006147968,-0.05,0.0177585935,0.0034722222,0.0011214133,0.1555021537,0.0212913478,0.0145695166
0.7424722662,0.7535321821,0.0772526683,-0.0666666667,-0.0259806419,0.0608974359,-0.007625883,0.0010439321,0.0077075571,0.250930145
0.7519809826,0.748822606,-0.0017532085,-0.1,0.0780403371,-0.0729166667,0.0024279739,-0.0065434855,-0.0079913944,-0.7105718463
0.7448494453,0.7441130298,-0.1555278305,-0.2,-0.0248396931,-0.0381944444,-0.0079319498,1.21006013322955E-17,-0.0078033088,0.2884682388
0.7464342314,0.7480376766,-0.0876230205,0.4,0,-0.2083333333,-0.0105779407,0.0174048652,-0.0021461137,0.1308399728
0.7559429477,0.751177394,-0.0918405977,-0.1,0.0092201416,0.0416666667,-0.0294293254,0.0061181749,0.0017655583,0.1053489631
0.7519809826,0.748822606,-0.1224065319,-0.2,-0.0353625403,-0.0286458333,0.0568189284,-0.0019786493,-0.0147628997,-0.1437848864
0.7511885895,0.7464678179,-0.1506597564,0.6,0.1527909177,0.0333333333,-0.0068457361,0,0.1806702042,0.0531936664
0.7448494453,0.7441130298,0.0367907519,-0.0666666667,0.0225165563,-0.1064814815,-0.0361310096,-0.0004492408,-0.0054467572,-0.2968943031
0.7305863708,0.7244897959,0.6366658564,-0.1,-0.003171346,0.119047619,0.0734510328,0.0304827558,-0.0424841678,-0.5267364065
0.6965134707,0.691522763,0.156706307,-0.2,-0.0023506884,0.0169753086,0.010918778,0.0017908022,0.0400578017,-0.3016188297
0.6870047544,0.6875981162,-0.1240479695,0,0.0032239284,0.0065789474,0.0032202265,0,0.0119828842,-0.1599944453
0.6909667195,0.6993720565,0.0253259157,0,-0.0154771914,-0.015625,-0.0020974974,-0.0068022981,0.0048114885,0.4594770197
0.7036450079,0.6985871272,0.0023163733,0,0.0042917974,-0.0007575758,-0.0007145284,0.0007267368,0.0024247788,0.0041865746
0.7036450079,0.6978021978,-0.1106568345,0,-0.0441213234,-0.0385802469,-0.0027059848,-2.29759079621168E-18,-0.0024179441,0.6964947862
0.705229794,0.7252747253,0.1897279607,1,-0.0230526648,-0.5520833333,-0.0083259098,-0.004605468,-0.0073720018,0.74895305
0.7218700475,0.715855573,-0.1176682571,-0.04,0.1442466887,-0.0068027211,-0.0062516269,-1.7343106397727E-18,-0.0139020869,-0.1035590783
0.7155309033,0.7166405024,-0.0312006518,-0.05,-0.0237016382,-0.0152439024,-0.012914122,-0.0130541256,-0.0578768549,-0.2121058357
0.7258320127,0.7362637363,0.0042964454,0.1333333333,-0.0128710342,0.0416666667,-0.1887735149,0.3947747255,0.0299756188,0.3575123878
0.736133122,0.7291993721,-0.1060639219,-0.04,0.036589404,-0.0096153846,0.0063132743,0,0.0043155076,-0.1643194032
0.7305863708,0.7284144427,-0.1024831688,-0.05,0.0203607158,-0.0375,-0.0002296812,0,-0.0036226838,-0.4779546027
0.7258320127,0.7244897959,-0.1136082712,-0.0666666667,0.0281456954,0.0520833333,-0.0045552687,-0.0039302825,-0.0032914633,0.0681305554
0.7234548336,0.7229199372,-0.0640697426,-0.1,0.0436111686,-0.0601851852,-0.0077779137,-0.0075405044,-0.0037853979,-0.173716459
0.7226624406,0.7189952904,-0.1946400686,-0.2,0.0004219744,0.1666666667,-0.0115959001,0,-0.0117047941,-0.2112067174
0.7218700475,0.7197802198,-0.0663262662,0,-0.0023454746,-0.0020833333,-0.0418171926,-0.0074139206,-0.0333186062,0.0129339871
0.7171156894,0.7221350078,-0.0342685128,0,-0.0427475975,-0.0350877193,-0.0361568009,0.0064927061,0.0038235413,0.2158616882
0.7305863708,0.7299843014,-0.0920477573,1,-0.0254393785,-0.2222222222,0.0326229899,0.0552459824,-0.001807621,0.2147327877
0.7377179081,0.7394034537,-0.0178164723,0,-0.030614616,0.0576923077,0.0147511339,0.0071872148,-0.0173868614,0.24005118
0.7194928685,0.7135007849,0.7499180004,-0.04,0.9403220951,-0.0510752688,-0.0119618055,-0.0085371073,0.1069364487,-0.4951766249
0.7123613312,0.7072213501,0.0358363645,-0.05,0.0041188822,0.1130952381,-0.0878213749,0.0126726,-0.0076083924,-0.2586424732
0.7004754358,0.7001569859,-0.0843581224,-0.0666666667,-0.0008660214,0.0240384615,0.009829986,0.0013141436,-0.0781791765,-0.2010702782
0.6957210777,0.6930926217,-0.2294783421,-0.1,-0.0043178055,0.0040650407,0.0012238976,0.0003396356,0.0318691031,-0.0503764423
0.704437401,0.7001569859,0.0350839988,-0.2,-0.0014474929,0.0157407407,0.000749425,-0.0083714889,0.0174435605,-0.2241402927
0.6988906498,0.6954474097,-0.1568431536,0,-0.0186292894,-0.0309139785,-0.0021438761,-5.19177120613469E-18,0.0008592688,0.6319624371
0.7012678288,0.6954474097,-0.1670607986,0,-0.0087955298,-0.046875,-0.00168285,0,-0.0023788763,0.2497121117
0.6965134707,0.691522763,0.2432677086,0.4,0.0490279855,-0.3541666667,0.0044356446,0.0252268174,-0.002545035,-0.2364895117
0.6798732171,0.6742543171,0.251429531,-0.1,-0.0039181108,0.0611111111,0.0053373338,0.0050159851,-0.0008212665,-0.309815392
0.6695721078,0.6781789639,-0.0095838196,-0.2,-0.0266485839,-0.0259009009,-0.0020965789,-0.0033032503,-0.0060596229,0.3324156067
0.6822503962,0.693877551,0.0745680284,0.2,-0.0332630945,-0.0178571429,-0.0048925312,-0.0129618322,-0.0015990679,0.0859428891
0.6941362916,0.7009419152,0.0280851335,0.8,-0.0508328316,-0.0885416667,-0.0096320672,0.0541630276,-0.0016126776,0.2376764112
0.7076069731,0.7032967033,0.0172688214,0,0.3707467458,0.0740740741,-0.0131051336,0.0053797791,-0.0100970943,0.2276247989
0.6988906498,0.6978021978,-0.144720273,-0.04,0.0477373068,0.0216666667,-0.0287918023,0,-0.049184484,0.1904496851
0.6965134707,0.691522763,-0.0349009685,-0.05,0.0951386362,-0.0328947368,-0.1097738142,-0.0063716942,0.0072304597,-0.4185199793
0.6909667195,0.6883830455,-0.0163002266,-0.0666666667,0.0117273731,-0.09375,0.0165793304,0.021338375,-0.0004225943,-0.2507154099
0.6854199683,0.6875981162,-0.0379644972,-0.1,0.0038821649,0.0708333333,0.0048917784,0,-0.0084158211,-0.2337164466
0.6854199683,0.6813186813,-0.02032974,-0.2,-0.0015636497,0.0046296296,0.0052162236,0.0093012437,-0.026528877,-0.0443870673
0.6798732171,0.6891679749,0.1072290039,0,-0.0422833949,-0.0305555556,-0.006069519,-0.0122148223,0.0357356766,0.3133693456
0.6957210777,0.6907378336,-0.0067824105,0,0.0215436187,-0.0416666667,-0.0043836695,-0.0073976474,0.0019409579,0.1119691104
0.6909667195,0.6844583987,-0.1577208327,0.8,0.0492549669,0.0104166667,0.0032004401,-1.09900017406101E-16,-0.0017287974,-0.0282505685
0.6806656101,0.6750392465,0.0373259666,-0.05,0.0450331126,0.2916666667,0.0145962958,0.2459689647,-0.002624113,-0.1987349763
0.6743264659,0.6750392465,-0.107327828,-0.0666666667,0,-0.0182291667,0.0030737524,-7.29450199384844E-18,-0.0061023524,0.099914161
0.6735340729,0.6687598116,-0.0518418054,-0.1,-0.0014072848,0.1157407407,0.003372539,0.0060129458,0.0123192889,-0.3510904217
0.6664025357,0.6671899529,-0.0770295098,-0.2,0.001443369,-0.0012254902,0.0012001121,0.000394272,0.0089671856,0.0129087238
0.6640253566,0.6687598116,1,0,-0.0248063756,0.0063131313,0.0029392285,0.0061322195,0.0063855564,-0.0774721339
0.6426307448,0.6577708006,0.100035125,0.2,0.0017057997,-0.0164473684,0.0006843349,2.2631091788782E-18,0.0009621362,0.2157085973
0.6553090333,0.6491365777,-0.006438603,-0.2,0.0203220361,0.0253623188,0.0024469711,0.0002203901,0.0034584583,-0.2075698551
0.6450079239,0.6428571429,-0.148105823,0.4,0.0070364238,-0.0033783784,0.0011747962,-2.22712804483286E-18,0.0001329359,0.0403682352
0.6442155309,0.6530612245,0.0482180407,-0.1,-0.0237674761,-0.0257352941,-0.0034424482,-0.0096409062,-0.0019079404,0.3182150391
0.6584786054,0.6562009419,-0.11874679,-0.2,-0.0491676663,-0.0705128205,-0.0055352187,-0.0075326181,-0.0052759276,0.3281174199
0.6584786054,0.6530612245,-0.039434925,0,0.3348367207,-0.0555555556,-0.0011362629,0.0035831064,-0.0033051896,-0.1758420295
0.6521394612,0.647566719,-0.1747923944,0.6,0.0216505349,-0.125,0.0004048081,0.0117209043,-0.0090112339,0.1354635297
0.648177496,0.6436420722,-0.0635849219,-0.0666666667,0.0281456954,-0.0277777778,0.002752495,0.0107703717,-0.0168663584,-0.05970016
0.6418383518,0.6420722135,-0.1616007946,-0.1,-0.006254599,-0.3333333333,-0.0005596878,0,-0.0163960761,-0.2373326526
0.648177496,0.6758241758,0.668743156,0.8,-0.0562913907,-0.1160714286,-0.0173635858,0.0014661317,0.2621140872,0.5836896175
0.6870047544,0.6813186813,-0.0889725464,0,0.0089204936,0.02,0.0418927447,0.0014665973,0.0407540899,0.1789976311
0.6814580032,0.6891679749,-0.0503609529,0,0.0283439045,0.0101351351,0.0065223824,0.0017041856,0.0115357262,0.1321663019
0.6846275753,0.68288854,-0.0932273117,-0.04,-0.0107804423,0.0108695652,0.0023866956,-0.0034449595,0.0093784146,0.1792378242
0.6870047544,0.6875981162,-0.081357471,-0.05,-0.0157716564,0.0007183908,0.0011744305,0.001823392,0.0077447349,0.0110462506
0.6949286846,0.7001569859,0.0316792513,0.1333333333,0.0663434248,-0.0268361582,0.0020776271,0.0032410711,-0.0003789797,-0.5510996799
0.6980982567,0.6923076923,0.0059106475,-0.04,0.0654197244,-0.0178571429,-0.0017449863,-0.0047459011,-0.0019384287,-0.12477178
0.6893819334,0.6883830455,0.0640192893,-0.05,0.0253311258,-0.0451388889,-0.0038653183,-0.0074050982,-0.0039972297,-0.1825107586
0.6798732171,0.6758241758,-0.104145432,-0.0666666667,0.0001386487,0.2916666667,-0.0049217254,-0.0108872739,-0.0073157247,-0.0989424604
0.677496038,0.6781789639,-0.0581161907,-0.1,0.0153521975,0.0677083333,-0.0089583914,0.0246417773,-0.0158060506,-0.1839639162
0.6719492868,0.6671899529,-0.0453611936,-0.2,-0.0061186294,0.0396825397,-0.0246381996,0.0136295332,-0.3395996168,-0.2807885502
0.6656101426,0.6601255887,0.0755658542,0,-0.0034698463,0,0.0341962759,0.0125713778,0.0148336341,-0.0068468004
0.6592709984,0.6640502355,-0.0181292849,0,-0.0018064525,-0.0081300813,0.0051199156,-0.0049166421,0.0047682661,0.1128258934
0.6608557845,0.6554160126,-0.0622453368,0.2,-0.0045433544,-0.0075757576,0.000474691,0.0067757011,0.0022395147,0.0866746873
0.6671949287,0.680533752,0.3453248427,0.8,-0.0382031925,-0.0509259259,-0.0089200158,-0.0059181324,-0.0026918183,0.4866785198
0.6822503962,0.6789638932,-0.106933017,-0.04,-0.0051173992,0.0694444444,-0.0147102553,9.91612524404099E-18,-0.0068438428,0.1455176857
0.6822503962,0.68288854,-0.1213673277,0.05,-0.0245844033,0.0442708333,0.5100557047,0.004360046,-0.0153573711,0.2486065857
0.6901743265,0.6875981162,-0.1307860143,0,-0.0395745535,0.0138888889,0.0155840982,0.0038472571,-0.2521938101,0.1566690445
0.6941362916,0.7064364207,0.173237277,0,0.2486203091,0.0104166667,0.0087146493,0.0077732788,0.0185580844,0.1522811113
0.7115689382,0.7213500785,0.2040438184,0,-0.0268721345,0.0007575758,0.0086756455,0.0020982316,0.0051665272,-0.0078711598
0.7258320127,0.7237048666,0.0690341179,0,-0.0215719842,0.0037202381,0.0030630533,0.0002431905,0.0034388586,0.0661857574
0.7250396197,0.7448979592,0.1817659371,0,-0.0035182119,0.0129781421,0.0040223098,0.0015927623,0.0028438189,0.2448237283
0.7543581616,0.7692307692,0.0921621504,0,-0.0112582781,0.0109375,0.0041150017,0.0008334161,0.002839464,0.2574436189
0.7741679873,0.7676609105,0.1239123678,-0.04,0.3649234985,-0.0160891089,-0.00125346,-0.0018916527,0.000108625,-0.5012784699
0.7496038035,0.7582417582,0.1554661586,-0.05,0.0020104068,-0.0168010753,-0.0016163637,-0.0077186609,-0.0010235649,-0.3357078248
0.7551505547,0.7582417582,0.0635767412,-0.0666666667,0.0468916898,-0.0236486486,-0.0033790924,-2.86975960357658E-18,-0.0022827462,-0.272349571
0.7393026941,0.7394034537,-0.0767000595,-0.1,0.0108161578,-0.078125,-0.003810185,-0.0115128841,-0.0052865091,-0.3883045282
0.734548336,0.740188383,-0.1556775729,-0.2,-0.0027770419,0.0863095238,-0.0033385468,0.0045777482,-0.0117175578,-0.3638803144
0.7393026941,0.7394034537,-0.0896385064,0,0.0003059315,-0.0222868217,-0.0039491715,-0.0095717137,-0.0231502546,0.2950234076
0.7416798732,0.7386185243,-0.1162092759,0.2,-0.0076069447,-0.0104166667,-0.0022153246,6.34647778843748E-17,0.0354032369,0.0659129249
0.7385103011,0.7323390895,0.0037406606,-0.2,0.0226981414,0.0138888889,-0.0099981481,0.1706894399,0.0077768553,-0.0697716398
0.7290015848,0.726844584,-0.1008786348,0.2,-0.0201872574,-0.025,-0.0087481509,0.0037439343,-0.0008419191,0.1603261141
0.7329635499,0.7299843014,-0.0249307268,-0.2,0.0237306843,0.0572916667,-0.0427789261,-0.0061457618,-0.0036278153,-0.1455677985
0.7250396197,0.7197802198,0.036754671,0,-0.0001238989,0.0197368421,0.0307041626,0.020590358,0.0016929195,-0.1219353014
0.7083993661,0.7025117739,-0.1126671151,0,0.0040994817,0.0223214286,0.0097128418,0.002330504,0.0052365265,-0.2007549819
0.70681458,0.704866562,-0.0585688522,0,-0.0168338064,-0.0261627907,0.000096748,0.0017034622,-0.000493572,0.3662975553
0.7107765452,0.704866562,-0.0587928839,0.2,0.0123137417,0.0390625,0.0013624232,0,0.0033921949,-0.2008966811
0.706022187,0.7135007849,0.0330279956,-0.2,-0.038736903,-0.0349462366,-0.0050157495,-0.0103505719,-0.0016366922,0.3566874809
